acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name,beta_shift,dropout_prob,warmup_proportion,lr,aligned_method,weight_decay
71.24,67.37,67.49,68.28,0.6966,MIntRec,mag_bert,bert-base-uncased,1.0,mag_bert_MIntRec_multi-class_seed-1_2024-01-24-07-48-30,,,,,,
71.01,66.9,67.16,67.23,0.6878,MIntRec,mag_bert,bert-base-uncased,2.0,mag_bert_MIntRec_multi-class_seed-2_2024-01-24-07-53-37,,,,,,
72.13,67.45,68.44,68.4,0.7181,MIntRec,mag_bert,bert-base-uncased,3.0,mag_bert_MIntRec_multi-class_seed-3_2024-01-24-07-58-46,,,,,,
73.71,69.33,69.88,70.47,0.6981,MIntRec,mag_bert,bert-base-uncased,4.0,mag_bert_MIntRec_multi-class_seed-4_2024-01-24-09-38-07,,,,,,
72.36,69.17,70.39,69.35,0.6739,MIntRec,mag_bert,bert-base-uncased,5.0,mag_bert_MIntRec_multi-class_seed-5_2024-01-24-09-45-51,,,,,,
...,,,,,,,,,,,,,,,
56.12,51.45,52.27,51.81,0.5174,MIntRec2,mag_bert,bert-base-uncased,1.0,mag_bert_MIntRec2_multi-class_seed-1_2024-03-15-07-27-17,0.01,0.1,0.1,2e-05,ctc,0.03
56.32,50.62,50.87,51.31,0.502,MIntRec2,mag_bert,bert-base-uncased,1.0,mag_bert_MIntRec2_multi-class_seed-1_2024-03-15-07-48-14,0.01,0.1,0.1,2e-05,conv1d,0.03
58.19,52.8,55.3,52.05,0.5149,MIntRec2,mag_bert,bert-base-uncased,1.0,mag_bert_MIntRec2_multi-class_seed-1_2024-03-15-08-01-16,0.01,0.1,0.1,3e-05,ctc,0.03
57.16,51.57,53.26,51.56,0.5031,MIntRec2,mag_bert,bert-base-uncased,1.0,mag_bert_MIntRec2_multi-class_seed-1_2024-03-15-08-11-52,0.01,0.1,0.1,2.9999999999999997e-05,conv1d,0.03
58.34,51.92,53.42,51.85,0.5319,MIntRec2,mag_bert,bert-base-uncased,1.0,mag_bert_MIntRec2_multi-class_seed-1_2024-03-15-08-22-19,0.01,0.1,0.3,2e-05,ctc,0.03
58.58,50.75,53.28,50.93,0.506,MIntRec2,mag_bert,bert-base-uncased,1.0,mag_bert_MIntRec2_multi-class_seed-1_2024-03-15-08-38-32,0.01,0.1,0.3,2e-05,conv1d,0.03
57.75,51.27,55.52,50.78,0.5184,MIntRec2,mag_bert,bert-base-uncased,1.0,mag_bert_MIntRec2_multi-class_seed-1_2024-03-15-08-51-57,0.01,0.1,0.3,3e-05,ctc,0.03
56.67,50.22,50.69,50.58,0.5006,MIntRec2,mag_bert,bert-base-uncased,1.0,mag_bert_MIntRec2_multi-class_seed-1_2024-03-15-09-07-50,0.01,0.1,0.3,2.9999999999999997e-05,conv1d,0.03
58.73,52.29,54.54,52.32,0.509,MIntRec2,mag_bert,bert-base-uncased,1.0,mag_bert_MIntRec2_multi-class_seed-1_2024-03-15-09-22-16,0.01,0.5,0.1,2e-05,ctc,0.03
58.53,50.72,51.6,51.42,0.493,MIntRec2,mag_bert,bert-base-uncased,1.0,mag_bert_MIntRec2_multi-class_seed-1_2024-03-15-09-34-10,0.01,0.5,0.1,2e-05,conv1d,0.03
56.67,50.56,51.06,51.01,0.5112,MIntRec2,mag_bert,bert-base-uncased,1.0,mag_bert_MIntRec2_multi-class_seed-1_2024-03-15-09-45-29,0.01,0.5,0.1,3e-05,ctc,0.03
