acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name,rnncell,reverse_grad_weight,dropout_rate,diff_weight,sim_weight,recon_weight,lr,gamma,hidden_size
71.46,68.72,70.81,69.11,0.6954,MIntRec,misa,bert-base-uncased,1.0,misa_MIntRec_multi-class_seed-1_2024-01-24-07-31-13,,,,,,,,,
72.58,69.87,70.83,69.71,0.6838,MIntRec,misa,bert-base-uncased,2.0,misa_MIntRec_multi-class_seed-2_2024-01-24-07-33-52,,,,,,,,,
71.91,69.82,70.55,69.88,0.6829999999999999,MIntRec,misa,bert-base-uncased,3.0,misa_MIntRec_multi-class_seed-3_2024-01-24-07-37-26,,,,,,,,,
71.24,68.26,69.06,68.17,0.7028,MIntRec,misa,bert-base-uncased,4.0,misa_MIntRec_multi-class_seed-4_2024-01-24-09-54-41,,,,,,,,,
69.44,67.22,67.45,67.89,0.7153,MIntRec,misa,bert-base-uncased,5.0,misa_MIntRec_multi-class_seed-5_2024-01-24-10-00-19,,,,,,,,,
...,,,,,,,,,,,,,,,,,,
56.12,51.14,53.6,50.43,0.5181,MIntRec2,misa,bert-base-uncased,4.0,misa_MIntRec2_multi-class_seed-4_2024-02-29-14-11-02,,,,,,,,,
58.14,53.16,53.83,52.96,0.5319,MIntRec2,misa,bert-base-uncased,5.0,misa_MIntRec2_multi-class_seed-5_2024-02-29-14-29-13,,,,,,,,,
...,,,,,,,,,,,,,,,,,,
58.19,52.05,52.69,51.92,0.5243,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-01-03-00-18,lstm,0.8,0.1,0.7,0.7,0.6,1e-05,0.5,
57.5,50.76,51.29,50.99,0.5263,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-01-03-20-26,lstm,0.8,0.1,0.7,0.7,0.6,2e-05,0.5,
57.8,52.56,53.72,52.07,0.5312,MIntRec2,misa,bert-base-uncased,2.0,misa_MIntRec2_multi-class_seed-2_2024-03-01-03-43-13,lstm,0.8,0.1,0.7,0.7,0.6,1e-05,0.5,
56.91,51.55,51.91,51.9,0.5172,MIntRec2,misa,bert-base-uncased,2.0,misa_MIntRec2_multi-class_seed-2_2024-03-01-04-01-45,lstm,0.8,0.1,0.7,0.7,0.6,2e-05,0.5,
57.55,51.83,52.71,51.45,0.5293,MIntRec2,misa,bert-base-uncased,3.0,misa_MIntRec2_multi-class_seed-3_2024-03-01-04-21-39,lstm,0.8,0.1,0.7,0.7,0.6,1e-05,0.5,
...,,,,,,,,,,,,,,,,,,
