acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name,ablation,hidden_dims,num_attention_heads,attention_probs_dropout_prob,hidden_dropout_prob,intermediate_size,num_hidden_layers,max_position_embeddings,dropout,aligned_method,lr,patience,factor
71.24,68.49,69.0,68.55,0.6882,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-05-07-09-02-51,no_cat,768.0,12.0,0.2,0.2,768.0,8.0,768.0,0.1,conv1d,8e-06,8.0,0.1
68.76,64.9,65.08,65.22,0.6972,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-05-07-09-10-14,no_selfatt,768.0,12.0,0.2,0.2,768.0,8.0,768.0,0.1,conv1d,8e-06,8.0,0.1
71.46,68.91,69.76,68.93,0.6909,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-05-07-09-14-32,no_modality,768.0,12.0,0.2,0.2,768.0,8.0,768.0,0.1,conv1d,8e-06,8.0,0.1
71.01,68.07,68.64,67.9,0.7044,MIntRec,msz,bert-base-uncased,2.0,msz_MIntRec_multi-class_seed-2_2024-05-07-09-19-26,no_cat,768.0,12.0,0.2,0.2,768.0,8.0,768.0,0.1,conv1d,8e-06,8.0,0.1
69.21,66.62,67.07,66.83,0.6921,MIntRec,msz,bert-base-uncased,2.0,msz_MIntRec_multi-class_seed-2_2024-05-07-09-29-21,no_selfatt,768.0,12.0,0.2,0.2,768.0,8.0,768.0,0.1,conv1d,8e-06,8.0,0.1
72.13,68.62,70.0,68.68,0.7045,MIntRec,msz,bert-base-uncased,2.0,msz_MIntRec_multi-class_seed-2_2024-05-07-09-33-32,no_modality,768.0,12.0,0.2,0.2,768.0,8.0,768.0,0.1,conv1d,8e-06,8.0,0.1
70.11,67.07,68.38,67.25,0.6838,MIntRec,msz,bert-base-uncased,3.0,msz_MIntRec_multi-class_seed-3_2024-05-07-09-39-24,no_cat,768.0,12.0,0.2,0.2,768.0,8.0,768.0,0.1,conv1d,8e-06,8.0,0.1
69.44,65.76,66.13,66.9,0.6894,MIntRec,msz,bert-base-uncased,3.0,msz_MIntRec_multi-class_seed-3_2024-05-07-09-44-46,no_selfatt,768.0,12.0,0.2,0.2,768.0,8.0,768.0,0.1,conv1d,8e-06,8.0,0.1
71.24,67.42,67.52,67.96,0.6767,MIntRec,msz,bert-base-uncased,3.0,msz_MIntRec_multi-class_seed-3_2024-05-07-09-48-12,no_modality,768.0,12.0,0.2,0.2,768.0,8.0,768.0,0.1,conv1d,8e-06,8.0,0.1
71.24,67.82,67.71,68.65,0.7039,MIntRec,msz,bert-base-uncased,4.0,msz_MIntRec_multi-class_seed-4_2024-05-07-09-57-03,no_cat,768.0,12.0,0.2,0.2,768.0,8.0,768.0,0.1,conv1d,8e-06,8.0,0.1
70.11,67.18,67.8,67.02,0.7089,MIntRec,msz,bert-base-uncased,4.0,msz_MIntRec_multi-class_seed-4_2024-05-07-10-05-52,no_selfatt,768.0,12.0,0.2,0.2,768.0,8.0,768.0,0.1,conv1d,8e-06,8.0,0.1
69.66,66.62,68.06,66.2,0.6794,MIntRec,msz,bert-base-uncased,4.0,msz_MIntRec_multi-class_seed-4_2024-05-07-10-11-35,no_modality,768.0,12.0,0.2,0.2,768.0,8.0,768.0,0.1,conv1d,8e-06,8.0,0.1
70.79,68.12,70.44,67.03,0.6871,MIntRec,msz,bert-base-uncased,5.0,msz_MIntRec_multi-class_seed-5_2024-05-07-10-17-05,no_cat,768.0,12.0,0.2,0.2,768.0,8.0,768.0,0.1,conv1d,8e-06,8.0,0.1
71.01,67.56,68.89,67.73,0.6955,MIntRec,msz,bert-base-uncased,5.0,msz_MIntRec_multi-class_seed-5_2024-05-07-10-21-45,no_selfatt,768.0,12.0,0.2,0.2,768.0,8.0,768.0,0.1,conv1d,8e-06,8.0,0.1
71.91,69.09,69.8,69.28,0.6888,MIntRec,msz,bert-base-uncased,5.0,msz_MIntRec_multi-class_seed-5_2024-05-07-10-25-12,no_modality,768.0,12.0,0.2,0.2,768.0,8.0,768.0,0.1,conv1d,8e-06,8.0,0.1
.,,,,,,,,,,,,,,,,,,,,,,
59.22,54.29,55.56,54.23,0.5299,MIntRec2,msz,bert-base-uncased,1.0,msz_MIntRec2_multi-class_seed-1_2024-05-07-13-16-42,no_cat,768.0,6.0,0.3,0.5,768.0,6.0,1000.0,0.2,conv1d,5e-06,5.0,0.2
60.06,54.57,56.53,54.18,0.5116,MIntRec2,msz,bert-base-uncased,1.0,msz_MIntRec2_multi-class_seed-1_2024-05-07-13-43-57,no_selfatt,768.0,6.0,0.3,0.5,768.0,6.0,1000.0,0.2,conv1d,5e-06,5.0,0.2
59.08,53.8,55.88,53.57,0.5025,MIntRec2,msz,bert-base-uncased,2.0,msz_MIntRec2_multi-class_seed-2_2024-05-08-01-49-12,no_cat,768.0,6.0,0.3,0.5,768.0,6.0,1000.0,0.2,conv1d,5e-06,5.0,0.2
59.42,52.42,53.74,52.46,0.5267,MIntRec2,msz,bert-base-uncased,2.0,msz_MIntRec2_multi-class_seed-2_2024-05-08-02-08-43,no_selfatt,768.0,6.0,0.3,0.5,768.0,6.0,1000.0,0.2,conv1d,5e-06,5.0,0.2
58.93,53.18,55.81,53.01,0.5034,MIntRec2,msz,bert-base-uncased,2.0,msz_MIntRec2_multi-class_seed-2_2024-05-08-02-34-44,no_modality,768.0,6.0,0.3,0.5,768.0,6.0,1000.0,0.2,conv1d,5e-06,5.0,0.2
59.52,52.48,53.51,52.66,0.5119,MIntRec2,msz,bert-base-uncased,5.0,msz_MIntRec2_multi-class_seed-5_2024-05-08-02-53-30,no_cat,768.0,6.0,0.3,0.5,768.0,6.0,1000.0,0.2,conv1d,5e-06,5.0,0.2
58.63,52.13,53.06,52.2,0.525,MIntRec2,msz,bert-base-uncased,5.0,msz_MIntRec2_multi-class_seed-5_2024-05-08-03-11-07,no_selfatt,768.0,6.0,0.3,0.5,768.0,6.0,1000.0,0.2,conv1d,5e-06,5.0,0.2
