acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name,lr_main,weight_decay_main,lr_bert,weight_decay_bert,d_vh,d_ah,d_vout,d_aout,d_prjh
55.45,47.28,53.16,45.4,0.4754,MELD-DA,mmim,bert-base-uncased,1.0,mmim_MELD-DA_multi-class_seed-1,,,,,,,,,
56.29,48.93,50.67,49.55,0.5001,MELD-DA,mmim,bert-base-uncased,1.0,mmim_MELD-DA_multi-class_seed-1,0.0002,0.0001,4e-05,8e-05,32.0,32.0,16.0,16.0,128.0
58.32,50.67,53.11,51.01,0.4861,MELD-DA,mmim,bert-base-uncased,1.0,mmim_MELD-DA_multi-class_seed-1,0.0002,0.0001,4e-05,8e-05,32.0,32.0,16.0,16.0,512.0
57.28,47.75,47.86,48.11,0.4929,MELD-DA,mmim,bert-base-uncased,1.0,mmim_MELD-DA_multi-class_seed-1,0.0002,0.0001,4e-05,7e-05,32.0,32.0,16.0,16.0,128.0
58.69,49.44,52.52,48.36,0.4865,MELD-DA,mmim,bert-base-uncased,1.0,mmim_MELD-DA_multi-class_seed-1,0.0002,0.0001,4e-05,7e-05,32.0,32.0,16.0,16.0,512.0
59.52,48.52,51.79,48.77,0.4919,MELD-DA,mmim,bert-base-uncased,1.0,mmim_MELD-DA_multi-class_seed-1,0.0002,0.0001,6e-05,8e-05,32.0,32.0,16.0,16.0,128.0
55.66,47.99,50.16,47.59,0.4746,MELD-DA,mmim,bert-base-uncased,1.0,mmim_MELD-DA_multi-class_seed-1,0.0002,0.0001,5.9999999999999995e-05,8e-05,32.0,32.0,16.0,16.0,512.0
57.75,50.97,50.2,53.37,0.4920000000000001,MELD-DA,mmim,bert-base-uncased,1.0,mmim_MELD-DA_multi-class_seed-1,0.0002,0.0001,6e-05,7e-05,32.0,32.0,16.0,16.0,128.0
57.9,49.34,54.9,47.56,0.4703,MELD-DA,mmim,bert-base-uncased,1.0,mmim_MELD-DA_multi-class_seed-1,0.0002,0.0001,5.9999999999999995e-05,7e-05,32.0,32.0,16.0,16.0,512.0
56.76,49.93,51.08,51.07,0.484,MELD-DA,mmim,bert-base-uncased,1.0,mmim_MELD-DA_multi-class_seed-1,0.0002,0.0002,4e-05,8e-05,32.0,32.0,16.0,16.0,128.0
56.34,46.23,49.77,45.08,0.4897,MELD-DA,mmim,bert-base-uncased,1.0,mmim_MELD-DA_multi-class_seed-1,0.0002,0.0002,4e-05,8e-05,32.0,32.0,16.0,16.0,512.0
56.39,47.32,51.22,45.73,0.4986,MELD-DA,mmim,bert-base-uncased,1.0,mmim_MELD-DA_multi-class_seed-1,0.0002,0.0002,4e-05,7e-05,32.0,32.0,16.0,16.0,128.0
59.42,51.26,54.28,50.65,0.4878,MELD-DA,mmim,bert-base-uncased,1.0,mmim_MELD-DA_multi-class_seed-1,0.0002,0.0002,4e-05,7e-05,32.0,32.0,16.0,16.0,512.0
56.08,49.9,52.24,48.91,0.4874,MELD-DA,mmim,bert-base-uncased,1.0,mmim_MELD-DA_multi-class_seed-1,0.0002,0.0002,6e-05,8e-05,32.0,32.0,16.0,16.0,128.0
54.2,47.21,57.53,47.65,0.4748,MELD-DA,mmim,bert-base-uncased,1.0,mmim_MELD-DA_multi-class_seed-1,0.0002,0.0002,5.9999999999999995e-05,8e-05,32.0,32.0,16.0,16.0,512.0
56.7,50.72,52.37,51.5,0.4996,MELD-DA,mmim,bert-base-uncased,1.0,mmim_MELD-DA_multi-class_seed-1,0.0002,0.0002,6e-05,7e-05,32.0,32.0,16.0,16.0,128.0
59.21,49.54,56.56,47.88,0.4748,MELD-DA,mmim,bert-base-uncased,1.0,mmim_MELD-DA_multi-class_seed-1,0.0002,0.0002,5.9999999999999995e-05,7e-05,32.0,32.0,16.0,16.0,512.0
59.73,49.55,52.89,49.02,0.4948,MELD-DA,mmim,bert-base-uncased,1.0,mmim_MELD-DA_multi-class_seed-1,0.0001,0.0001,4e-05,8e-05,32.0,32.0,16.0,16.0,128.0
55.45,47.28,53.16,45.4,0.4754,MELD-DA,mmim,bert-base-uncased,1.0,mmim_MELD-DA_multi-class_seed-1,0.0001,0.0001,4e-05,8e-05,32.0,32.0,16.0,16.0,512.0
59.31,49.69,51.16,50.43,0.5041,MELD-DA,mmim,bert-base-uncased,1.0,mmim_MELD-DA_multi-class_seed-1,0.0001,0.0001,4e-05,7e-05,32.0,32.0,16.0,16.0,128.0
56.96,50.75,53.95,49.5,0.4842,MELD-DA,mmim,bert-base-uncased,1.0,mmim_MELD-DA_multi-class_seed-1,0.0001,0.0001,4e-05,7e-05,32.0,32.0,16.0,16.0,512.0
56.03,48.98,50.47,49.2,0.4785,MELD-DA,mmim,bert-base-uncased,1.0,mmim_MELD-DA_multi-class_seed-1,0.0001,0.0001,6e-05,8e-05,32.0,32.0,16.0,16.0,128.0
..,,,,,,,,,,,,,,,,,,
55.61,46.34,49.56,45.83,0.4777,MELD-DA,mmim,bert-base-uncased,2.0,mmim_MELD-DA_multi-class_seed-2,0.0002,0.0002,4e-05,7e-05,32.0,32.0,16.0,16.0,512.0
57.9,49.74,50.94,49.53,0.4917,MELD-DA,mmim,bert-base-uncased,3.0,mmim_MELD-DA_multi-class_seed-3,0.0002,0.0002,4e-05,7e-05,32.0,32.0,16.0,16.0,512.0
..,,,,,,,,,,,,,,,,,,
60.25,51.8,54.46,52.64,0.5051,MELD-DA,mmim,bert-base-uncased,2.0,mmim_MELD-DA_multi-class_seed-2,0.0001,0.0001,4e-05,7e-05,32.0,32.0,16.0,16.0,128.0
56.81,50.17,53.31,50.99,0.5035,MELD-DA,mmim,bert-base-uncased,3.0,mmim_MELD-DA_multi-class_seed-3,0.0001,0.0001,4e-05,7e-05,32.0,32.0,16.0,16.0,128.0
