acc,f1,prec,rec,eval_acc,dataset,method,text_backbone,seed,logger_name,eval_f1,num_attention_heads,attention_probs_dropout_prob,hidden_dropout_prob,num_hidden_layers,dropout,aligned_method,lr,hidden_size,hidden_dims,intermediate_size,max_position_embeddings,d_num_attention_heads,d_attention_probs_dropout_prob,d_hidden_dropout_prob,d_num_hidden_layers,d_max_position_embeddings,m_num_attention_heads,m_attention_probs_dropout_prob,m_hidden_dropout_prob,m_num_hidden_layers,m_max_position_embeddings,patience,factor
fusion_feats = torch.cat((t_a_att , t_v_att , t_att), dim=1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.84,64.41,64.92,68.4,,MIntRec,msz,bert-base-uncased,0.0,msz_MIntRec_multi-class_seed-0_2024-01-04-13-11-26,0.6591,,,,,,,,,,,,,,,,,,,,,,,
fusion_feats = torch.cat((t_a_att_con , t_v_att_con , text_con), dim=1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67.87,64.19,65.26,64.04,,MIntRec,msz,bert-base-uncased,0.0,msz_MIntRec_multi-class_seed-0_2024-01-04-13-32-28,0.6608,,,,,,,,,,,,,,,,,,,,,,,
fusion_feats = torch.cat((t_a_att_con , t_v_att_con , text_con), dim=1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68.31,66.74,71.45,65.14,,MIntRec,msz,bert-base-uncased,0.0,msz_MIntRec_multi-class_seed-0_2024-01-04-13-52-38,0.6743,,,,,,,,,,,,,,,,,,,,,,,
fusion_feats = torch.cat((t_a_att_con  t_v_att_con  text_con) dim=1) t_a_att_con = self.get_t(self.att_ta(text audio)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70.56,68.09,70.14,67.79,,MIntRec,msz,bert-base-uncased,0.0,msz_MIntRec_multi-class_seed-0_2024-01-05-01-51-44,0.6799,,,,,,,,,,,,,,,,,,,,,,,
67.64,63.88,65.25,63.55,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-01-05-02-02-01,0.6829,,,,,,,,,,,,,,,,,,,,,,,
66.97,61.98,63.32,63.8,,MIntRec,msz,bert-base-uncased,2.0,msz_MIntRec_multi-class_seed-2_2024-01-05-02-12-17,0.6535,,,,,,,,,,,,,,,,,,,,,,,
fusion_feats = torch.cat((t_a_att_con , t_v_att_con ,text_con, text_mean), dim=1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67.42,64.51,66.87,64.52,,MIntRec,msz,bert-base-uncased,0.0,msz_MIntRec_multi-class_seed-0_2024-01-05-02-23-53,0.6662,,,,,,,,,,,,,,,,,,,,,,,
fusion_feats = torch.cat((video_mean ,audio_mean, text_mean), dim=1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68.76,64.73,64.97,65.78,,MIntRec,msz,bert-base-uncased,0.0,msz_MIntRec_multi-class_seed-0_2024-01-05-02-55-57,0.6586,,,,,,,,,,,,,,,,,,,,,,,
text_mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.62,62.72,64.23,63.56,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-01-05-03-26-30,0.6478,,,,,,,,,,,,,,,,,,,,,,,
67.87,65.85,65.89,67.34,,MIntRec,msz,bert-base-uncased,2.0,msz_MIntRec_multi-class_seed-2_2024-01-05-03-35-03,0.6656,,,,,,,,,,,,,,,,,,,,,,,
66.52,62.39,65.15,62.08,,MIntRec,msz,bert-base-uncased,3.0,msz_MIntRec_multi-class_seed-3_2024-01-05-03-49-35,0.6494,,,,,,,,,,,,,,,,,,,,,,,
67.64,65.08,65.28,66.46,,MIntRec,msz,bert-base-uncased,4.0,msz_MIntRec_multi-class_seed-4_2024-01-05-03-58-55,0.6576,,,,,,,,,,,,,,,,,,,,,,,
66.97,61.6,62.33,62.37,,MIntRec,msz,bert-base-uncased,5.0,msz_MIntRec_multi-class_seed-5_2024-01-05-04-08-22,0.6398,,,,,,,,,,,,,,,,,,,,,,,
fusion_feats = torch.cat((video_mean ,audio_mean, text_mean), dim=1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.17,62.75,64.39,63.24,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-01-05-04-18-45,0.6895,,,,,,,,,,,,,,,,,,,,,,,
68.76,65.94,68.81,64.59,,MIntRec,msz,bert-base-uncased,2.0,msz_MIntRec_multi-class_seed-2_2024-01-05-04-27-42,0.6526,,,,,,,,,,,,,,,,,,,,,,,
69.66,67.59,68.89,68.9,,MIntRec,msz,bert-base-uncased,3.0,msz_MIntRec_multi-class_seed-3_2024-01-05-04-40-56,0.6666,,,,,,,,,,,,,,,,,,,,,,,
65.84,61.5,64.09,61.12,,MIntRec,msz,bert-base-uncased,4.0,msz_MIntRec_multi-class_seed-4_2024-01-05-04-50-12,0.6566,,,,,,,,,,,,,,,,,,,,,,,
68.09,64.77,66.24,65.04,,MIntRec,msz,bert-base-uncased,5.0,msz_MIntRec_multi-class_seed-5_2024-01-05-04-59-45,0.6788,,,,,,,,,,,,,,,,,,,,,,,
fusion_feats = torch.cat((t_v_att_con ,t_a_att_con, text_mean), dim=1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66.97,63.46,63.99,64.55,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-01-05-05-12-01,0.6531,,,,,,,,,,,,,,,,,,,,,,,
66.29,60.92,59.91,63.04,,MIntRec,msz,bert-base-uncased,2.0,msz_MIntRec_multi-class_seed-2_2024-01-05-05-20-36,0.6619,,,,,,,,,,,,,,,,,,,,,,,
71.91,66.84,70.59,66.23,,MIntRec,msz,bert-base-uncased,3.0,msz_MIntRec_multi-class_seed-3_2024-01-05-05-30-51,0.6664,,,,,,,,,,,,,,,,,,,,,,,
67.64,65.7,66.56,66.73,,MIntRec,msz,bert-base-uncased,4.0,msz_MIntRec_multi-class_seed-4_2024-01-05-05-39-09,0.6614,,,,,,,,,,,,,,,,,,,,,,,
