acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name,hidden_dims,num_attention_heads,attention_probs_dropout_prob,hidden_dropout_prob,intermediate_size,num_hidden_layers,max_position_embeddings,dropout,aligned_method,lr,patience,factor
59.36,48.3,49.49,48.45,0.4754,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,6.0,0.2,0.2,768.0,6.0,768.0,0.1,conv1d,8e-06,8.0,0.1
59.05,48.05,51.97,47.61,0.4811,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,6.0,0.2,0.2,768.0,6.0,768.0,0.1,conv1d,6e-06,8.0,0.1
57.69,51.4,53.53,50.24,0.4907,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,6.0,0.2,0.2,768.0,4.0,768.0,0.1,conv1d,8e-06,8.0,0.1
59.57,50.44,52.83,50.58,0.4892,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,6.0,0.2,0.2,768.0,4.0,768.0,0.1,conv1d,6e-06,8.0,0.1
59.68,48.59,49.56,48.86,0.4724,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,4.0,0.2,0.2,768.0,6.0,768.0,0.1,conv1d,8e-06,8.0,0.1
59.0,48.37,57.65,47.88,0.4763,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,4.0,0.2,0.2,768.0,6.0,768.0,0.1,conv1d,6e-06,8.0,0.1
56.34,49.6,54.12,48.19,0.4832,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,4.0,0.2,0.2,768.0,4.0,768.0,0.1,conv1d,8e-06,8.0,0.1
58.42,50.18,52.09,49.48,0.4857,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,4.0,0.2,0.2,768.0,4.0,768.0,0.1,conv1d,6e-06,8.0,0.1
58.69,49.56,52.56,48.1,0.4901,MELD-DA,msz,bert-base-uncased,2.0,msz_MELD-DA_multi-class_seed-2,768.0,6.0,0.2,0.2,768.0,4.0,768.0,0.1,conv1d,6e-06,8.0,0.1
57.17,49.38,51.06,48.79,0.4803,MELD-DA,msz,bert-base-uncased,3.0,msz_MELD-DA_multi-class_seed-3,768.0,6.0,0.2,0.2,768.0,4.0,768.0,0.1,conv1d,6e-06,8.0,0.1
59.89,50.94,55.78,50.77,0.4787,MELD-DA,msz,bert-base-uncased,4.0,msz_MELD-DA_multi-class_seed-4,768.0,6.0,0.2,0.2,768.0,4.0,768.0,0.1,conv1d,6e-06,8.0,0.1
60.09,50.41,53.0,50.35,0.4967,MELD-DA,msz,bert-base-uncased,5.0,msz_MELD-DA_multi-class_seed-5,768.0,6.0,0.2,0.2,768.0,4.0,768.0,0.1,conv1d,6e-06,8.0,0.1
58.74,48.93,51.97,47.32,0.4838,MELD-DA,msz,bert-base-uncased,2.0,msz_MELD-DA_multi-class_seed-2,768.0,6.0,0.2,0.2,768.0,4.0,768.0,0.1,conv1d,8e-06,8.0,0.1
.,,,,,,,,,,,,,,,,,,,,,
57.12,49.61,50.1,49.78,0.496,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,6.0,0.2,0.2,768.0,4.0,1000.0,0.2,conv1d,6e-06,8.0,0.1
57.38,50.1,51.37,49.62,0.5076,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,6.0,0.2,0.2,768.0,4.0,1000.0,0.1,conv1d,6e-06,8.0,0.1
55.71,48.71,51.29,48.12,0.4877,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,6.0,0.2,0.2,768.0,4.0,768.0,0.2,conv1d,6e-06,8.0,0.1
59.57,50.44,52.83,50.58,0.4892,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,6.0,0.2,0.2,768.0,4.0,768.0,0.1,conv1d,6e-06,8.0,0.1
57.69,49.2,50.97,48.14,0.5024,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,6.0,0.2,0.3,768.0,4.0,1000.0,0.2,conv1d,6e-06,8.0,0.1
59.47,49.3,57.59,46.64,0.4954,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,6.0,0.2,0.3,768.0,4.0,1000.0,0.1,conv1d,6e-06,8.0,0.1
55.76,49.1,51.68,48.82,0.4881,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,6.0,0.2,0.3,768.0,4.0,768.0,0.2,conv1d,6e-06,8.0,0.1
59.26,50.43,53.2,50.6,0.4873,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,6.0,0.2,0.3,768.0,4.0,768.0,0.1,conv1d,6e-06,8.0,0.1
58.11,50.26,51.31,49.98,0.4987,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,6.0,0.3,0.2,768.0,4.0,1000.0,0.2,conv1d,6e-06,8.0,0.1
57.07,49.28,50.87,48.88,0.5061,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,6.0,0.3,0.2,768.0,4.0,1000.0,0.1,conv1d,6e-06,8.0,0.1
58.22,50.58,54.52,49.5,0.4893,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,6.0,0.3,0.2,768.0,4.0,768.0,0.2,conv1d,6e-06,8.0,0.1
59.57,49.73,51.8,50.22,0.4892,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,6.0,0.3,0.2,768.0,4.0,768.0,0.1,conv1d,6e-06,8.0,0.1
57.38,49.65,51.32,48.79,0.5038,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,6.0,0.3,0.3,768.0,4.0,1000.0,0.2,conv1d,6e-06,8.0,0.1
57.12,49.98,51.28,49.49,0.4932,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,6.0,0.3,0.3,768.0,4.0,1000.0,0.1,conv1d,6e-06,8.0,0.1
56.29,49.67,52.34,49.22,0.4831,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,6.0,0.3,0.3,768.0,4.0,768.0,0.2,conv1d,6e-06,8.0,0.1
57.8,49.74,51.7,49.01,0.4873,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,6.0,0.3,0.3,768.0,4.0,768.0,0.1,conv1d,6e-06,8.0,0.1
58.53,51.18,54.79,50.24,0.5343,MELD-DA,msz,bert-base-uncased,2.0,msz_MELD-DA_multi-class_seed-2,768.0,6.0,0.2,0.2,768.0,4.0,1000.0,0.2,conv1d,6e-06,8.0,0.1
58.22,51.4,55.02,50.55,0.5308,MELD-DA,msz,bert-base-uncased,2.0,msz_MELD-DA_multi-class_seed-2,768.0,6.0,0.2,0.2,768.0,4.0,1000.0,0.1,conv1d,6e-06,8.0,0.1
58.84,49.59,52.79,48.03,0.4889,MELD-DA,msz,bert-base-uncased,2.0,msz_MELD-DA_multi-class_seed-2,768.0,6.0,0.2,0.2,768.0,4.0,768.0,0.2,conv1d,6e-06,8.0,0.1
58.69,49.56,52.56,48.1,0.4901,MELD-DA,msz,bert-base-uncased,2.0,msz_MELD-DA_multi-class_seed-2,768.0,6.0,0.2,0.2,768.0,4.0,768.0,0.1,conv1d,6e-06,8.0,0.1
58.74,51.48,54.87,50.69,0.5369,MELD-DA,msz,bert-base-uncased,2.0,msz_MELD-DA_multi-class_seed-2,768.0,6.0,0.2,0.3,768.0,4.0,1000.0,0.2,conv1d,6e-06,8.0,0.1
58.89,51.88,55.23,51.21,0.5221,MELD-DA,msz,bert-base-uncased,2.0,msz_MELD-DA_multi-class_seed-2,768.0,6.0,0.2,0.3,768.0,4.0,1000.0,0.1,conv1d,6e-06,8.0,0.1
59.1,49.81,52.67,48.42,0.4892,MELD-DA,msz,bert-base-uncased,2.0,msz_MELD-DA_multi-class_seed-2,768.0,6.0,0.2,0.3,768.0,4.0,768.0,0.2,conv1d,6e-06,8.0,0.1
59.15,49.76,52.52,48.46,0.4927,MELD-DA,msz,bert-base-uncased,2.0,msz_MELD-DA_multi-class_seed-2,768.0,6.0,0.2,0.3,768.0,4.0,768.0,0.1,conv1d,6e-06,8.0,0.1
58.63,51.38,54.73,50.56,0.5304,MELD-DA,msz,bert-base-uncased,2.0,msz_MELD-DA_multi-class_seed-2,768.0,6.0,0.3,0.2,768.0,4.0,1000.0,0.2,conv1d,6e-06,8.0,0.1
58.63,51.76,55.15,51.15,0.524,MELD-DA,msz,bert-base-uncased,2.0,msz_MELD-DA_multi-class_seed-2,768.0,6.0,0.3,0.2,768.0,4.0,1000.0,0.1,conv1d,6e-06,8.0,0.1
58.63,49.57,52.61,48.16,0.4902,MELD-DA,msz,bert-base-uncased,2.0,msz_MELD-DA_multi-class_seed-2,768.0,6.0,0.3,0.2,768.0,4.0,768.0,0.2,conv1d,6e-06,8.0,0.1
59.05,50.07,52.77,48.71,0.4929,MELD-DA,msz,bert-base-uncased,2.0,msz_MELD-DA_multi-class_seed-2,768.0,6.0,0.3,0.2,768.0,4.0,768.0,0.1,conv1d,6e-06,8.0,0.1
58.84,51.4,54.91,50.51,0.5275,MELD-DA,msz,bert-base-uncased,2.0,msz_MELD-DA_multi-class_seed-2,768.0,6.0,0.3,0.3,768.0,4.0,1000.0,0.2,conv1d,6e-06,8.0,0.1
58.27,50.94,54.53,50.11,0.5243,MELD-DA,msz,bert-base-uncased,2.0,msz_MELD-DA_multi-class_seed-2,768.0,6.0,0.3,0.3,768.0,4.0,1000.0,0.1,conv1d,6e-06,8.0,0.1
..,,,,,,,,,,,,,,,,,,,,,
59.47,50.22,52.62,49.53,0.5037,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,4.0,0.2,0.2,768.0,3.0,768.0,0.2,conv1d,6e-06,5.0,0.1
