acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name,hidden_dims,num_attention_heads,attention_probs_dropout_prob,hidden_dropout_prob,intermediate_size,num_hidden_layers,max_position_embeddings,dropout,aligned_method,lr,patience,factor
59.73,51.25,52.08,51.1,0.4923,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,4.0,0.2,0.2,768.0,2.0,1024.0,0.2,conv1d,6e-06,8.0,0.1
58.48,51.3,51.05,52.62,0.4913,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,4.0,0.2,0.2,768.0,2.0,1024.0,0.2,ctc,6e-06,8.0,0.1
59.78,49.37,52.85,49.01,0.4883,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,4.0,0.2,0.2,768.0,2.0,1000.0,0.2,conv1d,6e-06,8.0,0.1
58.58,51.9,53.84,51.61,0.4975,MELD-DA,msz,bert-base-uncased,4.0,msz_MELD-DA_multi-class_seed-4,768.0,4.0,0.2,0.2,768.0,2.0,1024.0,0.2,conv1d,6e-06,8.0,0.1
57.22,50.38,53.69,49.09,0.4941,MELD-DA,msz,bert-base-uncased,4.0,msz_MELD-DA_multi-class_seed-4,768.0,4.0,0.2,0.2,768.0,2.0,1024.0,0.2,ctc,6e-06,8.0,0.1
59.57,49.8,53.16,48.97,0.4987,MELD-DA,msz,bert-base-uncased,4.0,msz_MELD-DA_multi-class_seed-4,768.0,4.0,0.2,0.2,768.0,2.0,1000.0,0.2,conv1d,6e-06,8.0,0.1
59.42,50.59,60.46,49.55,0.4833,MELD-DA,msz,bert-base-uncased,4.0,msz_MELD-DA_multi-class_seed-4,768.0,4.0,0.2,0.2,768.0,2.0,1000.0,0.2,ctc,6e-06,8.0,0.1
61.29,50.69,53.59,49.9,0.4951,MELD-DA,msz,bert-base-uncased,4.0,msz_MELD-DA_multi-class_seed-4,768.0,4.0,0.2,0.2,768.0,2.0,768.0,0.2,conv1d,6e-06,8.0,0.1
59.42,49.63,53.08,49.29,0.4859,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,6.0,0.2,0.2,768.0,2.0,1000.0,0.2,conv1d,6e-06,8.0,0.1
57.75,50.78,51.84,51.0,0.4939,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,6.0,0.2,0.2,768.0,2.0,1000.0,0.2,ctc,6e-06,8.0,0.1
60.04,52.13,56.23,51.8,0.4944,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,6.0,0.2,0.2,768.0,2.0,1024.0,0.2,conv1d,6e-06,8.0,0.1
58.27,51.13,50.88,52.51,0.4925,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,6.0,0.2,0.2,768.0,2.0,1024.0,0.2,ctc,6e-06,8.0,0.1
58.69,50.6,51.97,50.42,0.4984,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,6.0,0.2,0.2,768.0,2.0,768.0,0.2,conv1d,6e-06,8.0,0.1
59.78,49.35,51.22,49.81,0.4948,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,6.0,0.2,0.2,768.0,2.0,768.0,0.2,ctc,6e-06,8.0,0.1
58.22,49.44,54.22,46.36,0.5071,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,6.0,0.2,0.2,768.0,3.0,1000.0,0.2,conv1d,6e-06,8.0,0.1
59.89,49.99,50.93,50.84,0.4949,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,6.0,0.2,0.2,768.0,3.0,1000.0,0.2,ctc,6e-06,8.0,0.1
59.99,50.8,61.25,50.09,0.4948,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,6.0,0.2,0.2,768.0,3.0,1024.0,0.2,conv1d,6e-06,8.0,0.1
60.41,52.12,56.79,50.24,0.5012,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,6.0,0.2,0.2,768.0,3.0,1024.0,0.2,ctc,6e-06,8.0,0.1
59.78,50.82,53.07,50.29,0.5045,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,6.0,0.2,0.2,768.0,3.0,768.0,0.2,conv1d,6e-06,8.0,0.1
58.11,49.65,54.25,48.29,0.4911,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,6.0,0.2,0.2,768.0,3.0,768.0,0.2,ctc,6e-06,8.0,0.1
59.78,49.37,52.85,49.01,0.4883,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,4.0,0.2,0.2,768.0,2.0,1000.0,0.2,conv1d,6e-06,8.0,0.1
