acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name,dst_feature_dims,nheads,n_levels,conv1d_kernel_size_l,conv1d_kernel_size_v,conv1d_kernel_size_a,lr,attn_dropout,attn_dropout_v,attn_dropout_a,relu_dropout,embed_dropout,res_dropout,output_dropout,text_dropout,grad_clip
72.81,68.82,69.72,68.45,0.727,MIntRec,mult,bert-base-uncased,1.0,mult_MIntRec_multi-class_seed-1_2024-01-24-06-52-46,,,,,,,,,,,,,,,,
70.56,66.26,66.85,67.26,0.7054,MIntRec,mult,bert-base-uncased,2.0,mult_MIntRec_multi-class_seed-2_2024-01-24-07-01-52,,,,,,,,,,,,,,,,
70.34,66.76,67.37,67.2,0.7122,MIntRec,mult,bert-base-uncased,3.0,mult_MIntRec_multi-class_seed-3_2024-01-24-07-08-45,,,,,,,,,,,,,,,,
71.46,67.17,68.81,67.12,0.7031,MIntRec,mult,bert-base-uncased,4.0,mult_MIntRec_multi-class_seed-4_2024-01-24-10-08-07,,,,,,,,,,,,,,,,
72.58,70.41,72.69,69.58,0.7015,MIntRec,mult,bert-base-uncased,5.0,mult_MIntRec_multi-class_seed-5_2024-01-24-10-20-28,,,,,,,,,,,,,,,,
..,,,,,,,,,,,,,,,,,,,,,,,,,
71.46,68.43,68.55,68.76,0.7039,MIntRec,mult,bert-base-uncased,1.0,mult_MIntRec_multi-class_seed-1_2024-01-24-10-52-46,,,,,,,,,,,,,,,,
71.24,67.99,68.23,68.43,0.7085,MIntRec,mult,bert-base-uncased,2.0,mult_MIntRec_multi-class_seed-2_2024-01-24-11-03-25,,,,,,,,,,,,,,,,
71.46,68.29,68.78,68.42,0.7075,MIntRec,mult,bert-base-uncased,3.0,mult_MIntRec_multi-class_seed-3_2024-01-24-11-08-32,,,,,,,,,,,,,,,,
71.01,68.55,68.95,68.97,0.7063,MIntRec,mult,bert-base-uncased,4.0,mult_MIntRec_multi-class_seed-4_2024-01-24-11-15-31,,,,,,,,,,,,,,,,
73.48,70.71,71.54,70.73,0.6997,MIntRec,mult,bert-base-uncased,5.0,mult_MIntRec_multi-class_seed-5_2024-01-24-11-21-18,,,,,,,,,,,,,,,,
...,,,,,,,,,,,,,,,,,,,,,,,,,
56.07,49.9,52.02,49.39,0.5243,MIntRec2,mult,bert-base-uncased,1.0,mult_MIntRec2_multi-class_seed-1_2024-02-29-13-44-14,,,,,,,,,,,,,,,,
...,,,,,,,,,,,,,,,,,,,,,,,,,
56.32,50.34,50.62,50.88,0.5084,MIntRec2,mult,bert-base-uncased,1.0,mult_MIntRec2_multi-class_seed-1_2024-02-29-14-09-59,,,,,,,,,,,,,,,,
57.35,52.31,53.05,52.43,0.5233,MIntRec2,mult,bert-base-uncased,2.0,mult_MIntRec2_multi-class_seed-2_2024-02-29-14-39-16,,,,,,,,,,,,,,,,
57.99,52.33,52.83,52.32,0.5292,MIntRec2,mult,bert-base-uncased,3.0,mult_MIntRec2_multi-class_seed-3_2024-02-29-15-04-51,,,,,,,,,,,,,,,,
57.94,51.27,53.52,50.48,0.5339,MIntRec2,mult,bert-base-uncased,4.0,mult_MIntRec2_multi-class_seed-4_2024-02-29-15-37-17,,,,,,,,,,,,,,,,
58.78,53.4,54.44,53.07,0.5325,MIntRec2,mult,bert-base-uncased,5.0,mult_MIntRec2_multi-class_seed-5_2024-02-29-15-56-06,,,,,,,,,,,,,,,,
..,,,,,,,,,,,,,,,,,,,,,,,,,
58.19,52.78,53.76,52.7,0.5235,MIntRec2,mult,bert-base-uncased,1.0,mult_MIntRec2_multi-class_seed-1_2024-03-01-02-02-55,,,,,,,,,,,,,,,,
59.08,52.39,53.97,51.93,0.5275,MIntRec2,mult,bert-base-uncased,2.0,mult_MIntRec2_multi-class_seed-2_2024-03-01-02-29-21,,,,,,,,,,,,,,,,
58.04,52.55,53.23,52.44,0.5189,MIntRec2,mult,bert-base-uncased,3.0,mult_MIntRec2_multi-class_seed-3_2024-03-01-02-55-50,,,,,,,,,,,,,,,,
58.73,52.61,53.67,52.37,0.5351,MIntRec2,mult,bert-base-uncased,4.0,mult_MIntRec2_multi-class_seed-4_2024-03-01-03-26-32,,,,,,,,,,,,,,,,
58.68,52.56,55.65,52.35,0.5358,MIntRec2,mult,bert-base-uncased,5.0,mult_MIntRec2_multi-class_seed-5_2024-03-01-04-21-32,,,,,,,,,,,,,,,,
...,,,,,,,,,,,,,,,,,,,,,,,,,
57.94,52.18,54.1,51.94,0.5175,MIntRec2,mult,bert-base-uncased,1.0,mult_MIntRec2_multi-class_seed-1_2024-03-02-02-59-17,60.0,12.0,2.0,6.0,1.0,1.0,2e-05,,,,,,,,,
