acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,eval_acc,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,beta_shift,dropout_prob,warmup_proportion,lr,weight_decay,scale,aligned_method
58.83,57.64,58.21,52.29,55.93,52.19,50.7,56.85,44.1,94.63,49.33,55.65,0.5886,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,2.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-14-06-33-14,,,,,,,
58.34,57.1,57.61,51.71,54.67,52.08,50.86,57.02,44.21,94.69,49.2,55.71,0.5787,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,2.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-14-06-45-18,0.006,0.2,0.1,2.9999999999999997e-05,0.01,32.0,
57.7,56.12,56.23,49.14,52.6,48.94,51.01,57.0,44.21,94.95,48.94,55.88,0.5859,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-14-07-09-34,0.006,0.2,0.1,3e-05,0.01,,
58.09,56.01,55.54,48.56,51.81,49.13,51.2,57.15,44.3,94.95,48.88,55.85,0.5859,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-14-07-09-34,0.006,0.2,0.1,1e-05,0.01,,
57.4,56.35,57.76,51.27,56.21,51.76,51.06,57.05,44.48,94.63,49.2,55.64,0.5805,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-14-07-09-34,0.006,0.2,0.1,2e-05,0.01,,
58.09,56.28,58.18,49.73,57.82,49.68,51.08,57.08,44.34,94.69,48.69,55.69,0.5759,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-14-07-09-34,0.006,0.4,0.1,2.9999999999999997e-05,0.01,,
58.48,56.59,57.25,49.59,53.83,50.76,50.95,56.99,44.2,94.88,48.82,55.8,0.5823,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-14-07-09-34,0.006,0.4,0.1,1e-05,0.01,,
58.24,56.49,56.95,49.14,55.56,49.04,51.06,57.12,44.04,95.07,48.94,55.89,0.5877,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-14-07-09-34,0.006,0.4,0.1,2e-05,0.01,,
56.96,55.47,56.29,48.6,53.68,48.54,50.91,56.97,44.09,95.01,48.94,55.87,0.5859,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-14-07-09-34,0.003,0.2,0.1,3e-05,0.01,,
58.63,56.63,56.23,49.26,52.66,49.74,51.14,57.11,44.28,94.88,48.88,55.79,0.5886,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-14-07-09-34,0.003,0.2,0.1,1e-05,0.01,,
57.6,56.49,57.8,51.64,57.41,51.74,51.11,57.09,44.45,94.56,48.88,55.77,0.5796,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-14-07-09-34,0.003,0.2,0.1,2e-05,0.01,,
56.96,56.55,57.26,51.39,53.53,50.97,51.09,57.09,44.36,94.82,49.14,55.76,0.5759,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-14-07-09-34,0.003,0.4,0.1,2.9999999999999997e-05,0.01,,
