acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,eval_acc,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id
71.46,71.42,72.66,68.26,69.42,68.99,71.1,71.1,67.35,86.44,33.11,45.46,0.7169,MIntRec,MIntRec-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec_multi-class_0_2024-04-10-12-15-55
73.48,72.4,72.18,67.82,68.46,68.54,69.77,69.09,65.21,88.0,34.22,46.24,0.7258,MIntRec,MIntRec-OOD,misa,ma,bert-base-uncased,1.0,misa_ma_MIntRec_multi-class_0_2024-04-10-12-15-55
73.03,72.97,73.45,69.13,70.28,68.74,70.26,71.17,65.53,88.0,34.67,46.24,0.7326,MIntRec,MIntRec-OOD,misa,ma,bert-base-uncased,2.0,misa_ma_MIntRec_multi-class_0_2024-04-10-12-15-55
73.03,72.5,72.89,68.71,70.27,68.54,73.03,73.02,69.81,85.33,32.67,44.91,0.7303,MIntRec,MIntRec-OOD,misa,ma,bert-base-uncased,3.0,misa_ma_MIntRec_multi-class_0_2024-04-10-12-15-55
71.91,71.88,72.75,68.05,70.8,66.9,71.47,71.34,69.15,80.89,35.56,42.48,0.7258,MIntRec,MIntRec-OOD,misa,ma,bert-base-uncased,4.0,misa_ma_MIntRec_multi-class_0_2024-04-10-12-15-55
...,,,,,,,,,,,,,,,,,,,
71.46,71.42,72.66,68.26,69.42,68.99,66.52,67.51,63.47,86.44,38.44,45.46,,MIntRec,MIntRec-OOD,misa,residual,bert-base-uncased,0.0,misa_residual_MIntRec_multi-class_0_2024-05-01-01-53-13
73.48,72.4,72.18,67.82,68.46,68.54,68.49,68.1,67.13,84.22,37.56,44.35,,MIntRec,MIntRec-OOD,misa,residual,bert-base-uncased,1.0,misa_residual_MIntRec_multi-class_0_2024-05-01-01-53-13
73.03,72.97,73.45,69.13,70.28,68.74,69.82,69.43,67.11,84.0,35.33,44.25,,MIntRec,MIntRec-OOD,misa,residual,bert-base-uncased,2.0,misa_residual_MIntRec_multi-class_0_2024-05-01-01-53-13
73.03,72.5,72.89,68.71,70.27,68.54,71.27,71.18,68.47,85.56,34.0,45.02,,MIntRec,MIntRec-OOD,misa,residual,bert-base-uncased,3.0,misa_residual_MIntRec_multi-class_0_2024-05-01-01-53-13
71.91,71.88,72.75,68.05,70.8,66.9,68.21,68.63,64.78,87.33,37.11,45.79,,MIntRec,MIntRec-OOD,misa,residual,bert-base-uncased,4.0,misa_residual_MIntRec_multi-class_0_2024-05-01-01-53-13
71.46,71.42,72.66,68.26,69.42,68.99,73.52,73.91,70.06,79.11,32.22,41.82,,MIntRec,MIntRec-OOD,misa,vim,bert-base-uncased,0.0,misa_vim_MIntRec_multi-class_0_2024-05-01-01-55-00
73.48,72.4,72.18,67.82,68.46,68.54,72.91,72.33,72.01,79.11,34.67,41.82,,MIntRec,MIntRec-OOD,misa,vim,bert-base-uncased,1.0,misa_vim_MIntRec_multi-class_0_2024-05-01-01-55-00
73.03,72.97,73.45,69.13,70.28,68.74,74.9,73.25,72.34,78.67,30.89,41.6,,MIntRec,MIntRec-OOD,misa,vim,bert-base-uncased,2.0,misa_vim_MIntRec_multi-class_0_2024-05-01-01-55-00
73.03,72.5,72.89,68.71,70.27,68.54,75.51,74.63,73.24,79.33,30.89,41.7,,MIntRec,MIntRec-OOD,misa,vim,bert-base-uncased,3.0,misa_vim_MIntRec_multi-class_0_2024-05-01-01-55-00
