acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,eval_f1,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,lr_main,weight_decay_main,lr_bert,weight_decay_bert,lr_mmilb,weight_decay_mmilb,alpha,dropout_a,dropout_v,dropout_prj,n_layer,cpc_layers,d_vh,d_ah,d_vout,d_aout,d_prjh,scale,beta
72.58,72.85,74.03,70.36,72.9,69.29,76.91,76.67,75.69,74.67,29.78,39.61,0.7026,MIntRec,MIntRec-OOD,mmim,ma,bert-base-uncased,0.0,mmim_ma_MIntRec_multi-class_0_2024-04-27-03-28-29,0.0002,0.0003,4e-05,5e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,16.0,16.0,16.0,512.0,20.0,0.5
71.24,70.25,71.0,66.39,68.56,66.09,77.84,76.05,77.12,72.44,29.56,38.51,0.7035,MIntRec,MIntRec-OOD,mmim,ma,bert-base-uncased,0.0,mmim_ma_MIntRec_multi-class_0_2024-04-27-03-28-29,0.0002,0.0003,4e-05,5e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,16.0,16.0,8.0,512.0,20.0,0.5
71.91,71.66,72.64,67.76,69.5,67.26,77.97,76.32,77.87,71.78,30.22,38.17,0.7045,MIntRec,MIntRec-OOD,mmim,ma,bert-base-uncased,0.0,mmim_ma_MIntRec_multi-class_0_2024-04-27-03-28-29,0.0002,0.0003,4e-05,5e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,16.0,8.0,16.0,512.0,20.0,0.5
71.91,71.17,71.68,69.57,69.34,70.84,76.8,76.48,74.98,73.78,30.44,39.17,0.7078,MIntRec,MIntRec-OOD,mmim,ma,bert-base-uncased,0.0,mmim_ma_MIntRec_multi-class_0_2024-04-27-03-28-29,0.0002,0.0003,4e-05,5e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,16.0,8.0,8.0,512.0,20.0,0.5
68.54,68.33,69.87,65.21,67.18,65.16,78.46,77.21,76.17,76.22,28.22,40.27,0.6944,MIntRec,MIntRec-OOD,mmim,ma,bert-base-uncased,0.0,mmim_ma_MIntRec_multi-class_0_2024-04-27-03-28-29,0.0002,0.0003,4e-05,5e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,32.0,16.0,16.0,512.0,20.0,0.5
70.34,69.37,69.41,64.09,64.62,64.95,78.07,77.38,76.73,75.56,28.67,39.83,0.6761,MIntRec,MIntRec-OOD,mmim,ma,bert-base-uncased,0.0,mmim_ma_MIntRec_multi-class_0_2024-04-27-03-28-29,0.0002,0.0003,4e-05,5e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,32.0,16.0,8.0,512.0,20.0,0.5
69.66,70.18,71.35,67.16,67.54,67.55,76.92,75.92,76.49,74.22,29.33,39.28,0.6726,MIntRec,MIntRec-OOD,mmim,ma,bert-base-uncased,0.0,mmim_ma_MIntRec_multi-class_0_2024-04-27-03-28-29,0.0002,0.0003,4e-05,5e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,32.0,8.0,16.0,512.0,20.0,0.5
71.24,71.41,72.75,67.65,68.26,68.34,77.05,76.63,75.67,77.11,28.67,40.71,0.6946,MIntRec,MIntRec-OOD,mmim,ma,bert-base-uncased,0.0,mmim_ma_MIntRec_multi-class_0_2024-04-27-03-28-29,0.0002,0.0003,4e-05,5e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,32.0,8.0,8.0,512.0,20.0,0.5
69.89,70.15,71.0,67.77,68.61,67.7,74.84,75.38,72.47,79.56,32.22,41.93,0.7034,MIntRec,MIntRec-OOD,mmim,ma,bert-base-uncased,0.0,mmim_ma_MIntRec_multi-class_0_2024-04-27-03-28-29,0.0002,0.0003,4e-05,5e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,32.0,16.0,16.0,16.0,512.0,20.0,0.5
70.34,70.97,72.56,66.94,67.68,67.33,77.11,76.71,75.33,76.44,29.56,40.38,0.6897,MIntRec,MIntRec-OOD,mmim,ma,bert-base-uncased,0.0,mmim_ma_MIntRec_multi-class_0_2024-04-27-03-28-29,0.0002,0.0003,4e-05,5e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,32.0,16.0,16.0,8.0,512.0,20.0,0.5
