acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,eval_f1,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,lr_main,weight_decay_main,lr_bert,weight_decay_bert,lr_mmilb,weight_decay_mmilb,alpha,dropout_a,dropout_v,dropout_prj,n_layer,cpc_layers,d_vh,d_ah,d_vout,d_aout,d_prjh,scale,beta
56.42,55.64,56.09,49.45,52.31,49.02,50.61,56.93,43.93,94.63,49.26,55.69,0.5093,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,0.0,mmim_ma_MIntRec2_multi-class_0_2024-04-27-04-19-47,0.0002,0.0003,4e-05,5e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,16.0,16.0,16.0,512.0,20.0,0.5
57.85,56.84,57.84,51.28,53.79,51.3,50.37,56.68,43.81,95.07,49.71,55.84,0.5128,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,0.0,mmim_ma_MIntRec2_multi-class_0_2024-04-27-04-19-47,0.0002,0.0003,4e-05,5e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,16.0,16.0,8.0,512.0,20.0,0.5
58.04,57.07,59.1,52.48,57.39,52.26,50.64,56.8,44.1,94.69,49.71,55.66,0.5137,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,0.0,mmim_ma_MIntRec2_multi-class_0_2024-04-27-04-19-47,0.0002,0.0003,4e-05,5e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,16.0,8.0,16.0,512.0,20.0,0.5
57.4,56.6,56.82,51.03,53.13,50.55,50.54,56.67,44.16,94.5,49.71,55.61,0.5237,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,0.0,mmim_ma_MIntRec2_multi-class_0_2024-04-27-04-19-47,0.0002,0.0003,4e-05,5e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,16.0,8.0,8.0,512.0,20.0,0.5
58.68,57.34,59.02,51.83,57.57,50.51,50.88,56.95,44.24,94.37,49.07,55.51,0.5152,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,0.0,mmim_ma_MIntRec2_multi-class_0_2024-04-27-04-19-47,0.0002,0.0003,4e-05,5e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,32.0,16.0,16.0,512.0,20.0,0.5
55.98,55.79,56.43,49.96,49.94,51.36,50.81,56.77,44.21,94.82,49.2,55.76,0.5138,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,0.0,mmim_ma_MIntRec2_multi-class_0_2024-04-27-04-19-47,0.0002,0.0003,4e-05,5e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,32.0,16.0,8.0,512.0,20.0,0.5
58.88,58.32,59.16,54.34,56.71,54.05,50.73,57.02,43.9,94.82,49.52,55.76,0.5199,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,0.0,mmim_ma_MIntRec2_multi-class_0_2024-04-27-04-19-47,0.0002,0.0003,4e-05,5e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,32.0,8.0,16.0,512.0,20.0,0.5
57.26,56.73,57.11,51.61,52.97,51.36,50.6,56.87,43.79,94.82,49.65,55.74,0.5123,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,0.0,mmim_ma_MIntRec2_multi-class_0_2024-04-27-04-19-47,0.0002,0.0003,4e-05,5e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,32.0,8.0,8.0,512.0,20.0,0.5
56.37,56.06,57.42,51.87,54.15,52.17,50.65,56.8,43.99,94.88,48.94,55.79,0.5062,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,0.0,mmim_ma_MIntRec2_multi-class_0_2024-04-27-04-19-47,0.0002,0.0003,4e-05,5e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,32.0,16.0,16.0,16.0,512.0,20.0,0.5
56.86,56.34,57.06,51.54,52.46,52.09,50.92,56.94,44.35,94.75,49.33,55.73,0.518,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,0.0,mmim_ma_MIntRec2_multi-class_0_2024-04-27-04-19-47,0.0002,0.0003,4e-05,5e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,32.0,16.0,16.0,8.0,512.0,20.0,0.5
55.14,54.3,55.5,49.17,51.98,49.25,50.63,56.73,44.13,94.37,49.9,55.67,0.5076,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,0.0,mmim_ma_MIntRec2_multi-class_0_2024-04-27-04-19-47,0.0002,0.0003,4e-05,5e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,32.0,16.0,8.0,16.0,512.0,20.0,0.5
..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.91,56.44,57.26,50.81,53.15,50.7,50.88,56.89,44.4,94.37,49.2,55.56,0.5133,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,1.0,mmim_ma_MIntRec2_multi-class_0_2024-04-27-06-41-39,0.0002,0.0003,4e-05,5e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,16.0,8.0,16.0,512.0,20.0,0.5
