acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,eval_acc,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,lr,weight_decay,warmup_proportion,hidden_dims,num_attention_heads,attention_probs_dropout_prob,hidden_dropout_prob,intermediate_size,num_hidden_layers,max_position_embeddings,aligned_method,multiple_ood,select_number_min,select_number_max,mlp_hidden_size,mlp_dropout,alpha,scale
63.95,62.97,63.42,55.92,59.4,55.51,74.5,87.17,52.84,69.59,31.06,53.62,0.6201,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-22-13-57-43,1e-05,0.1,0.01,768.0,6.0,0.3,0.1,768.0,3.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0
63.57,60.98,64.47,53.84,65.07,55.21,67.39,83.76,48.62,70.08,39.51,53.98,0.6147,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-22-13-57-43,1e-05,0.1,0.01,768.0,6.0,0.3,0.1,768.0,5.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0
63.84,62.66,63.7,54.55,63.71,53.53,71.66,85.28,50.06,73.01,33.01,56.17,0.6137,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-22-13-57-43,1e-05,0.1,0.01,768.0,6.0,0.3,0.1,768.0,6.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0
63.57,61.05,61.91,51.64,55.22,50.99,63.2,81.92,39.17,81.79,40.65,62.8,0.6243,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-22-13-57-43,1e-05,0.1,0.01,768.0,6.0,0.3,0.1,768.0,4.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0
65.17,64.33,64.59,57.02,59.35,57.09,70.74,85.55,48.73,76.59,34.47,58.88,0.6105,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-22-13-57-43,1e-05,0.1,0.01,768.0,4.0,0.3,0.1,768.0,3.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0
63.63,61.0,63.02,52.82,55.98,53.88,66.9,83.94,46.09,74.96,38.7,57.67,0.6169,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-22-13-57-43,1e-05,0.1,0.01,768.0,4.0,0.3,0.1,768.0,5.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0
64.43,63.24,63.77,54.52,61.16,53.99,73.17,86.03,52.48,75.45,31.87,58.02,0.6286,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-22-13-57-43,1e-05,0.1,0.01,768.0,4.0,0.3,0.1,768.0,6.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0
64.27,61.72,63.0,49.71,55.29,50.1,72.86,86.5,49.82,73.17,31.22,56.32,0.6265,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-22-13-57-43,1e-05,0.1,0.01,768.0,4.0,0.3,0.1,768.0,4.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0
63.95,60.96,64.13,53.84,63.32,51.08,73.09,86.19,51.25,69.43,33.01,53.45,0.6179,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-22-13-57-43,1e-05,0.1,0.1,768.0,6.0,0.3,0.1,768.0,3.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0
62.56,58.54,62.37,50.73,64.41,49.85,76.11,87.83,54.02,72.52,28.62,55.83,0.6083,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-22-13-57-43,1e-05,0.1,0.1,768.0,6.0,0.3,0.1,768.0,5.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0
