acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,lr,weight_decay,warmup_proportion,hidden_dims,num_attention_heads,attention_probs_dropout_prob,hidden_dropout_prob,intermediate_size,num_hidden_layers,max_position_embeddings,aligned_method,multiple_ood,select_number_min,select_number_max,mlp_hidden_size,mlp_dropout,alpha,scale,eval_acc,sampler
73.03,72.01,72.12,68.06,69.98,67.19,80.15,77.45,80.58,63.78,27.78,34.08,MIntRec,MIntRec-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec_multi-class_0_2024-04-11-02-35-10,3e-05,0.1,0.1,768.0,8.0,0.3,0.3,768.0,6.0,768.0,conv1d,1.0,2.0,4.0,256.0,0.1,2.0,8.0,0.7146,
73.03,73.18,74.7,71.41,72.79,71.72,79.75,77.18,81.01,64.67,26.89,34.64,MIntRec,MIntRec-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MIntRec_multi-class_0_2024-04-11-02-35-10,2.9999999999999997e-05,0.1,0.1,768.0,8.0,0.3,0.3,768.0,6.0,768.0,conv1d,1.0,2.0,4.0,256.0,0.1,2.0,8.0,0.7685,
73.93,73.26,73.62,69.68,71.87,68.98,79.84,76.86,80.75,69.56,28.44,36.84,MIntRec,MIntRec-OOD,msz,ma,bert-base-uncased,2.0,msz_ma_MIntRec_multi-class_0_2024-04-11-02-35-10,3e-05,0.1,0.1,768.0,8.0,0.3,0.3,768.0,6.0,768.0,conv1d,1.0,2.0,4.0,256.0,0.1,2.0,8.0,0.7303,
73.26,73.52,74.45,71.2,72.22,71.15,78.13,77.51,76.5,75.78,28.67,40.05,MIntRec,MIntRec-OOD,msz,ma,bert-base-uncased,3.0,msz_ma_MIntRec_multi-class_0_2024-04-11-02-35-10,2.9999999999999997e-05,0.1,0.1,768.0,8.0,0.3,0.3,768.0,6.0,768.0,conv1d,1.0,2.0,4.0,256.0,0.1,2.0,8.0,0.7506,
72.13,71.7,72.07,69.57,71.69,68.73,80.27,77.55,80.32,64.89,26.89,34.75,MIntRec,MIntRec-OOD,msz,ma,bert-base-uncased,4.0,msz_ma_MIntRec_multi-class_0_2024-04-11-02-35-10,3e-05,0.1,0.1,768.0,8.0,0.3,0.3,768.0,6.0,768.0,conv1d,1.0,2.0,4.0,256.0,0.1,2.0,8.0,0.7303,
...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74.16,74.0,74.63,71.66,73.24,70.96,82.23,79.91,83.19,57.33,25.78,30.99,MIntRec,MIntRec-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec_multi-class_0_2024-04-14-10-14-47,2e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,4.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0,0.7438,
74.61,73.94,74.15,70.48,71.84,70.46,81.13,79.21,80.75,64.22,25.11,34.3,MIntRec,MIntRec-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MIntRec_multi-class_0_2024-04-14-10-14-47,2e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,4.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0,0.7393,
71.91,71.91,72.51,68.76,70.14,68.04,81.56,79.94,82.05,63.33,25.33,33.75,MIntRec,MIntRec-OOD,msz,ma,bert-base-uncased,2.0,msz_ma_MIntRec_multi-class_0_2024-04-14-10-14-47,2e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,4.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0,0.7528,
73.26,73.02,73.15,70.45,71.52,69.83,81.47,79.57,81.75,62.0,24.89,33.31,MIntRec,MIntRec-OOD,msz,ma,bert-base-uncased,3.0,msz_ma_MIntRec_multi-class_0_2024-04-14-10-14-47,2e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,4.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0,0.7461,
72.36,72.27,72.92,69.48,71.36,68.53,81.65,79.9,82.27,63.78,26.44,34.08,MIntRec,MIntRec-OOD,msz,ma,bert-base-uncased,4.0,msz_ma_MIntRec_multi-class_0_2024-04-14-10-14-47,2e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,4.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0,0.7303,
..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74.16,74.0,74.63,71.66,73.24,70.96,79.28,79.27,79.89,66.44,28.67,35.52,MIntRec,MIntRec-OOD,msz,residual,bert-base-uncased,0.0,msz_residual_MIntRec_multi-class_0_2024-04-30-15-02-03,2e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,4.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0,,
74.61,73.94,74.15,70.48,71.84,70.46,80.56,79.41,80.64,64.89,26.67,34.75,MIntRec,MIntRec-OOD,msz,residual,bert-base-uncased,1.0,msz_residual_MIntRec_multi-class_0_2024-04-30-15-02-03,2e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,4.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0,,
71.91,71.91,72.51,68.76,70.14,68.04,80.33,81.51,78.42,70.89,25.56,37.73,MIntRec,MIntRec-OOD,msz,residual,bert-base-uncased,2.0,msz_residual_MIntRec_multi-class_0_2024-04-30-15-02-03,2e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,4.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0,,
73.26,73.02,73.15,70.45,71.52,69.83,80.69,80.99,79.58,72.0,27.33,38.17,MIntRec,MIntRec-OOD,msz,residual,bert-base-uncased,3.0,msz_residual_MIntRec_multi-class_0_2024-04-30-15-02-03,2e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,4.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0,,
72.36,72.27,72.92,69.48,71.36,68.53,80.53,81.17,80.47,69.11,28.67,36.74,MIntRec,MIntRec-OOD,msz,residual,bert-base-uncased,4.0,msz_residual_MIntRec_multi-class_0_2024-04-30-15-02-03,2e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,4.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0,,
74.16,74.0,74.63,71.66,73.24,70.96,80.45,79.36,81.27,64.0,26.0,34.3,MIntRec,MIntRec-OOD,msz,vim,bert-base-uncased,0.0,msz_vim_MIntRec_multi-class_0_2024-04-30-15-04-08,2e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,4.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0,,
74.61,73.94,74.15,70.48,71.84,70.46,80.76,78.97,81.19,61.78,26.0,33.2,MIntRec,MIntRec-OOD,msz,vim,bert-base-uncased,1.0,msz_vim_MIntRec_multi-class_0_2024-04-30-15-04-08,2e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,4.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0,,
71.91,71.91,72.51,68.76,70.14,68.04,80.26,81.19,78.88,69.33,26.0,36.96,MIntRec,MIntRec-OOD,msz,vim,bert-base-uncased,2.0,msz_vim_MIntRec_multi-class_0_2024-04-30-15-04-08,2e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,4.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0,,
73.26,73.02,73.15,70.45,71.52,69.83,80.6,80.4,79.62,70.0,25.33,37.29,MIntRec,MIntRec-OOD,msz,vim,bert-base-uncased,3.0,msz_vim_MIntRec_multi-class_0_2024-04-30-15-04-08,2e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,4.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0,,
72.36,72.27,72.92,69.48,71.36,68.53,80.76,80.86,81.02,68.0,26.22,36.3,MIntRec,MIntRec-OOD,msz,vim,bert-base-uncased,4.0,msz_vim_MIntRec_multi-class_0_2024-04-30-15-04-08,2e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,4.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0,,
74.16,74.0,74.63,71.66,73.24,70.96,76.8,74.94,74.87,77.56,30.0,40.92,MIntRec,MIntRec-OOD,msz,energy,bert-base-uncased,0.0,msz_energy_MIntRec_multi-class_0_2024-04-30-15-05-43,2e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,4.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0,,
74.61,73.94,74.15,70.48,71.84,70.46,77.42,76.28,76.68,73.33,29.33,38.95,MIntRec,MIntRec-OOD,msz,energy,bert-base-uncased,1.0,msz_energy_MIntRec_multi-class_0_2024-04-30-15-05-43,2e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,4.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0,,
71.91,71.91,72.51,68.76,70.14,68.04,76.96,75.99,76.09,70.44,30.67,37.51,MIntRec,MIntRec-OOD,msz,energy,bert-base-uncased,2.0,msz_energy_MIntRec_multi-class_0_2024-04-30-15-05-43,2e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,4.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0,,
73.26,73.02,73.15,70.45,71.52,69.83,76.34,74.68,75.29,76.67,30.22,40.6,MIntRec,MIntRec-OOD,msz,energy,bert-base-uncased,3.0,msz_energy_MIntRec_multi-class_0_2024-04-30-15-05-43,2e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,4.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0,,
72.36,72.27,72.92,69.48,71.36,68.53,78.28,78.08,75.49,80.22,28.89,42.37,MIntRec,MIntRec-OOD,msz,energy,bert-base-uncased,4.0,msz_energy_MIntRec_multi-class_0_2024-04-30-15-05-43,2e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,4.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0,,
74.16,74.0,74.63,71.66,73.24,70.96,76.46,74.73,74.69,74.0,29.78,39.28,MIntRec,MIntRec-OOD,msz,maxlogit,bert-base-uncased,0.0,msz_maxlogit_MIntRec_multi-class_0_2024-04-30-15-06-55,2e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,4.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0,,
74.61,73.94,74.15,70.48,71.84,70.46,77.12,76.12,76.5,74.0,29.78,39.17,MIntRec,MIntRec-OOD,msz,maxlogit,bert-base-uncased,1.0,msz_maxlogit_MIntRec_multi-class_0_2024-04-30-15-06-55,2e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,4.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0,,
71.91,71.91,72.51,68.76,70.14,68.04,76.63,75.82,75.76,74.0,30.67,39.04,MIntRec,MIntRec-OOD,msz,maxlogit,bert-base-uncased,2.0,msz_maxlogit_MIntRec_multi-class_0_2024-04-30-15-06-55,2e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,4.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0,,
73.26,73.02,73.15,70.45,71.52,69.83,75.94,74.46,74.8,74.22,30.22,39.39,MIntRec,MIntRec-OOD,msz,maxlogit,bert-base-uncased,3.0,msz_maxlogit_MIntRec_multi-class_0_2024-04-30-15-06-55,2e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,4.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0,,
72.36,72.27,72.92,69.48,71.36,68.53,77.93,77.88,75.37,77.11,28.44,40.83,MIntRec,MIntRec-OOD,msz,maxlogit,bert-base-uncased,4.0,msz_maxlogit_MIntRec_multi-class_0_2024-04-30-15-06-55,2e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,4.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0,,
74.16,74.0,74.63,71.66,73.24,70.96,74.2,74.12,71.57,80.44,32.0,42.37,MIntRec,MIntRec-OOD,msz,msp,bert-base-uncased,0.0,msz_msp_MIntRec_multi-class_0_2024-04-30-15-08-02,2e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,4.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0,,
74.61,73.94,74.15,70.48,71.84,70.46,74.78,75.46,73.5,78.22,32.0,41.38,MIntRec,MIntRec-OOD,msz,msp,bert-base-uncased,1.0,msz_msp_MIntRec_multi-class_0_2024-04-30-15-08-02,2e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,4.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0,,
71.91,71.91,72.51,68.76,70.14,68.04,75.04,75.69,72.68,80.22,31.33,42.37,MIntRec,MIntRec-OOD,msz,msp,bert-base-uncased,2.0,msz_msp_MIntRec_multi-class_0_2024-04-30-15-08-02,2e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,4.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0,,
73.26,73.02,73.15,70.45,71.52,69.83,74.06,73.91,71.78,81.78,31.78,43.03,MIntRec,MIntRec-OOD,msz,msp,bert-base-uncased,3.0,msz_msp_MIntRec_multi-class_0_2024-04-30-15-08-02,2e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,4.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0,,
72.36,72.27,72.92,69.48,71.36,68.53,75.34,76.27,72.78,82.67,31.11,43.48,MIntRec,MIntRec-OOD,msz,msp,bert-base-uncased,4.0,msz_msp_MIntRec_multi-class_0_2024-04-30-15-08-02,2e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,4.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0,,
...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73.26,73.11,73.37,70.82,71.3,70.86,81.06,78.74,80.6,69.78,25.78,37.06,MIntRec,MIntRec-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec_multi-class_0_2024-05-01-03-11-02,2e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,4.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0,0.7438,
