acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,lr,weight_decay,warmup_proportion,hidden_dims,num_attention_heads,attention_probs_dropout_prob,hidden_dropout_prob,intermediate_size,num_hidden_layers,max_position_embeddings,aligned_method,multiple_ood,select_number_min,select_number_max,mlp_hidden_size,mlp_dropout,alpha,scale,eval_acc,sampler
55.83,54.87,57.33,49.66,54.17,50.82,51.6,57.47,45.07,93.99,48.88,55.55,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec2_multi-class_0_2024-04-13-08-01-21,2e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,4.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0,,
56.52,55.45,56.6,50.61,55.38,50.26,52.03,57.99,45.08,94.18,48.3,55.43,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec2_multi-class_0_2024-04-14-08-33-29,2.9999999999999997e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,4.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,16.0,,
58.24,56.01,59.03,49.64,58.36,50.21,51.18,57.33,44.42,94.5,49.52,55.64,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec2_multi-class_0_2024-04-14-10-26-24,3e-05,0.1,0.1,768.0,6.0,0.3,0.1,768.0,4.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,16.0,0.5723,
57.3,56.31,57.81,50.74,52.73,52.6,50.98,56.96,44.53,94.5,49.2,55.61,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec2_multi-class_0_2024-04-14-10-26-24,2.9999999999999997e-05,0.1,0.1,768.0,6.0,0.3,0.1,768.0,4.0,768.0,conv1d,1.0,2.0,3.0,256.0,0.3,3.0,16.0,0.5841,
55.93,54.88,55.27,49.16,51.81,48.58,51.85,58.04,44.94,94.56,48.88,55.63,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec2_multi-class_0_2024-04-14-10-26-24,3e-05,0.1,0.1,768.0,6.0,0.3,0.1,768.0,5.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,16.0,0.5597,
57.06,55.55,59.42,49.73,55.39,51.78,50.74,56.95,44.39,94.31,49.65,55.54,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec2_multi-class_0_2024-04-14-10-26-24,2.9999999999999997e-05,0.1,0.1,768.0,6.0,0.3,0.1,768.0,5.0,768.0,conv1d,1.0,2.0,3.0,256.0,0.3,3.0,16.0,0.5633,
58.39,56.77,57.82,51.71,56.44,51.75,51.19,57.39,44.6,94.5,49.39,55.56,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec2_multi-class_0_2024-04-14-10-26-24,3e-05,0.1,0.1,768.0,6.0,0.3,0.1,768.0,6.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,16.0,0.5741,
56.17,53.61,56.77,46.34,52.47,48.32,51.21,57.18,44.61,94.63,49.07,55.63,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec2_multi-class_0_2024-04-14-10-26-24,2.9999999999999997e-05,0.1,0.1,768.0,6.0,0.3,0.1,768.0,6.0,768.0,conv1d,1.0,2.0,3.0,256.0,0.3,3.0,16.0,0.5606,
57.06,55.76,56.85,50.2,55.64,50.03,51.65,57.64,44.95,94.31,48.82,55.56,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec2_multi-class_0_2024-04-14-10-26-24,3e-05,0.1,0.1,768.0,6.0,0.3,0.1,768.0,7.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,16.0,0.575,
56.76,55.8,58.66,50.45,57.44,50.47,50.53,56.88,43.96,94.69,49.52,55.69,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec2_multi-class_0_2024-04-14-10-26-24,2.9999999999999997e-05,0.1,0.1,768.0,6.0,0.3,0.1,768.0,7.0,768.0,conv1d,1.0,2.0,3.0,256.0,0.3,3.0,16.0,0.5759,
58.58,56.67,60.6,51.65,60.37,51.36,51.76,57.84,44.87,94.75,48.94,55.74,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec2_multi-class_0_2024-04-14-10-26-24,3e-05,0.1,0.1,768.0,6.0,0.3,0.1,768.0,8.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,16.0,0.5660000000000001,
57.21,55.13,57.21,48.28,54.49,48.63,50.6,56.85,44.12,94.63,49.58,55.72,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec2_multi-class_0_2024-04-14-10-26-24,2.9999999999999997e-05,0.1,0.1,768.0,6.0,0.3,0.1,768.0,8.0,768.0,conv1d,1.0,2.0,3.0,256.0,0.3,3.0,16.0,0.5624,
58.78,56.5,58.62,49.94,57.54,50.67,51.16,57.33,44.43,94.63,49.33,55.74,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec2_multi-class_0_2024-04-14-10-26-24,3e-05,0.1,0.1,768.0,8.0,0.3,0.1,768.0,4.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,16.0,0.5732,
58.04,56.33,59.43,50.42,56.36,51.01,50.87,57.09,44.26,94.5,49.46,55.78,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec2_multi-class_0_2024-04-14-10-26-24,2.9999999999999997e-05,0.1,0.1,768.0,8.0,0.3,0.1,768.0,4.0,768.0,conv1d,1.0,2.0,3.0,256.0,0.3,3.0,16.0,0.5823,
57.99,56.38,58.58,49.87,56.95,49.14,51.81,57.81,45.03,94.37,48.88,55.64,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec2_multi-class_0_2024-04-14-10-26-24,3e-05,0.1,0.1,768.0,8.0,0.3,0.1,768.0,5.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,16.0,0.5714,
56.67,55.26,59.99,49.25,56.23,51.09,50.86,57.02,44.5,94.31,49.46,55.45,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec2_multi-class_0_2024-04-14-10-26-24,2.9999999999999997e-05,0.1,0.1,768.0,8.0,0.3,0.1,768.0,5.0,768.0,conv1d,1.0,2.0,3.0,256.0,0.3,3.0,16.0,0.5678,
58.34,57.05,58.06,51.98,56.31,51.82,51.64,57.74,44.87,94.37,48.94,55.54,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec2_multi-class_0_2024-04-14-10-26-24,3e-05,0.1,0.1,768.0,8.0,0.3,0.1,768.0,6.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,16.0,0.5769,
56.27,53.69,57.73,46.62,55.44,47.99,51.15,57.13,44.49,94.95,49.33,55.78,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec2_multi-class_0_2024-04-14-10-26-24,2.9999999999999997e-05,0.1,0.1,768.0,8.0,0.3,0.1,768.0,6.0,768.0,conv1d,1.0,2.0,3.0,256.0,0.3,3.0,16.0,0.5624,
