acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,eval_acc,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,lr,weight_decay,warmup_proportion,hidden_dims,num_attention_heads,attention_probs_dropout_prob,hidden_dropout_prob,intermediate_size,num_hidden_layers,max_position_embeddings,aligned_method,sampler,multiple_ood,select_number_min,select_number_max,alpha,mlp_hidden_size,mlp_dropout,scale
57.26,55.9,57.9,50.48,55.5,50.86,72.7,80.83,58.86,81.87,32.75,53.37,0.575,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0,msz_ma_MIntRec2_multi-class_0_2024-05-18-13-21-27,2.9999999999999997e-05,0.1,0.01,768,4,0.4,0.3,768,6,768,ctc,dir,1,2,3,2,256,0.3,32
55.68,55.31,55.84,50.19,51.23,50.58,70.21,79.06,54.43,85.13,35.92,55.4,0.5678,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0,msz_ma_MIntRec2_multi-class_0_2024-05-18-13-21-27,3e-05,0.1,0.01,768,4,0.4,0.3,768,6,768,ctc,dir,1,2,3,2,256,0.3,16
57.85,57.43,58.5,52.12,52.88,53.4,70.61,79.05,57.18,82.79,35.17,53.95,0.5859,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0,msz_ma_MIntRec2_multi-class_0_2024-05-18-14-10-50,9e-06,0.1,0.01,768,4,0.4,0.3,768,6,768,ctc,dir,1,2,3,2,256,0.3,32
58.53,57.8,58.73,52.54,53.54,53.84,70.99,79.41,57.08,82.46,35.09,53.74,0.5995,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0,msz_ma_MIntRec2_multi-class_0_2024-05-18-14-10-50,9e-06,0.1,0.01,768,4,0.4,0.3,768,6,768,ctc,dir,1,2,3,2,256,0.3,16
59.12,56.66,56.17,48.01,51.52,48.7,70.77,79.73,55.69,84.04,34.59,54.74,0.5823,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0,msz_ma_MIntRec2_multi-class_0_2024-05-18-14-10-50,9e-06,0.1,0.01,768,4,0.4,0.3,768,6,768,ctc,dir,1,2,3,2,256,0.3,2
58.63,57.26,58.59,51.55,57.63,51.26,71.45,79.55,57.61,81.2,34.25,52.95,0.5949,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0,msz_ma_MIntRec2_multi-class_0_2024-05-18-14-10-50,9e-06,0.1,0.01,768,4,0.4,0.3,768,6,768,ctc,dir,1,2,3,3,256,0.3,32
59.27,57.85,59.41,52.7,59.14,52.05,71.09,79.34,57.23,81.79,34.5,53.32,0.5986,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0,msz_ma_MIntRec2_multi-class_0_2024-05-18-14-10-50,9e-06,0.1,0.01,768,4,0.4,0.3,768,6,768,ctc,dir,1,2,3,3,256,0.3,16
59.08,58.13,57.81,51.48,51.8,52.27,67.87,77.58,51.45,89.14,36.34,57.95,0.5976,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0,msz_ma_MIntRec2_multi-class_0_2024-05-18-14-10-50,9e-06,0.1,0.01,768,4,0.4,0.3,768,6,768,ctc,dir,1,2,3,3,256,0.3,2
58.63,57.15,58.29,51.88,55.09,51.55,70.15,78.9,56.09,83.21,35.84,54.14,0.5759,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0,msz_ma_MIntRec2_multi-class_0_2024-05-18-14-10-50,9e-06,0.1,0.01,768,4,0.4,0.3,768,5,768,ctc,dir,1,2,3,2,256,0.3,32
58.53,57.05,57.76,51.6,54.74,51.37,70.69,79.67,56.04,83.79,35.51,54.54,0.5877,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0,msz_ma_MIntRec2_multi-class_0_2024-05-18-14-10-50,9e-06,0.1,0.01,768,4,0.4,0.3,768,5,768,ctc,dir,1,2,3,2,256,0.3,16
58.29,55.92,56.12,47.1,51.31,47.89,72.17,80.34,58.18,83.63,33.25,54.48,0.5859,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0,msz_ma_MIntRec2_multi-class_0_2024-05-18-14-10-50,9e-06,0.1,0.01,768,4,0.4,0.3,768,5,768,ctc,dir,1,2,3,2,256,0.3,2
60.16,58.09,59.12,51.48,57.3,50.74,70.77,79.22,57.68,80.7,35.51,52.63,0.5868,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0,msz_ma_MIntRec2_multi-class_0_2024-05-18-14-10-50,9e-06,0.1,0.01,768,4,0.4,0.3,768,5,768,ctc,dir,1,2,3,3,256,0.3,32
59.37,57.14,57.69,49.79,55.47,48.95,71.41,79.82,57.88,81.29,34.67,52.99,0.585,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0,msz_ma_MIntRec2_multi-class_0_2024-05-18-14-10-50,9e-06,0.1,0.01,768,4,0.4,0.3,768,5,768,ctc,dir,1,2,3,3,256,0.3,16
59.42,57.87,57.96,50.31,53.62,51.04,70.54,79.0,57.3,82.46,35.09,53.74,0.594,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0,msz_ma_MIntRec2_multi-class_0_2024-05-18-14-10-50,9e-06,0.1,0.01,768,4,0.4,0.3,768,5,768,ctc,dir,1,2,3,3,256,0.3,2
58.63,57.09,58.3,52.1,55.81,51.57,70.8,79.56,56.43,81.7,35.0,53.27,0.5877,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0,msz_ma_MIntRec2_multi-class_0_2024-05-18-14-10-50,9e-06,0.1,0.01,768,4,0.4,0.3,768,4,768,ctc,dir,1,2,3,2,256,0.3,32
58.93,57.35,58.36,52.0,56.1,51.39,70.73,79.46,56.74,81.87,35.0,53.34,0.5886,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0,msz_ma_MIntRec2_multi-class_0_2024-05-18-14-10-50,9e-06,0.1,0.01,768,4,0.4,0.3,768,4,768,ctc,dir,1,2,3,2,256,0.3,16
3.34,0.22,0.11,0.22,0.11,3.33,69.05,78.24,54.24,85.96,35.51,55.93,0.5877,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0,msz_ma_MIntRec2_multi-class_0_2024-05-18-14-10-50,9e-06,0.1,0.01,768,4,0.4,0.3,768,4,768,ctc,dir,1,2,3,2,256,0.3,2
57.5,56.66,57.16,51.1,54.04,50.83,70.8,79.67,56.33,82.62,34.92,53.83,0.5814,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0,msz_ma_MIntRec2_multi-class_0_2024-05-18-14-10-50,9e-06,0.1,0.01,768,4,0.4,0.3,768,4,768,ctc,dir,1,2,3,3,256,0.3,32
58.34,57.44,57.78,51.96,54.72,51.73,71.17,79.9,56.81,83.21,34.75,54.19,0.5922,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0,msz_ma_MIntRec2_multi-class_0_2024-05-18-14-10-50,9e-06,0.1,0.01,768,4,0.4,0.3,768,4,768,ctc,dir,1,2,3,3,256,0.3,16
59.22,58.05,58.07,51.15,53.02,51.64,70.13,78.77,56.15,83.63,34.42,54.46,0.585,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0,msz_ma_MIntRec2_multi-class_0_2024-05-18-14-10-50,9e-06,0.1,0.01,768,4,0.4,0.3,768,4,768,ctc,dir,1,2,3,3,256,0.3,2
58.44,56.99,58.12,50.8,56.2,50.89,71.8,79.95,57.83,81.79,33.5,53.32,0.594,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0,msz_ma_MIntRec2_multi-class_0_2024-05-18-14-10-50,9e-06,0.1,0.01,768,4,0.4,0.5,768,6,768,ctc,dir,1,2,3,2,256,0.3,32
58.93,57.33,58.79,51.51,57.41,51.49,70.17,78.72,56.3,82.29,35.59,53.63,0.6004,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0,msz_ma_MIntRec2_multi-class_0_2024-05-18-14-10-50,9e-06,0.1,0.01,768,4,0.4,0.5,768,6,768,ctc,dir,1,2,3,2,256,0.3,16
