acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,eval_acc,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,dst_feature_dims,nheads,n_levels,attn_dropout,attn_dropout_v,attn_dropout_a,relu_dropout,embed_dropout,res_dropout,output_dropout,text_dropout,conv1d_kernel_size_l,conv1d_kernel_size_v,conv1d_kernel_size_a,lr
56.62,55.68,56.75,49.76,51.73,50.64,51.61,57.87,44.71,94.31,48.88,55.45,0.5732,MIntRec2,MIntRec2-OOD,mult,ma,bert-base-uncased,0.0,mult_ma_MIntRec2_multi-class_0_2024-04-26-09-28-13,80.0,8.0,8.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,2.9999999999999997e-05
58.83,57.97,58.06,52.36,54.25,51.76,51.7,57.88,44.74,94.5,48.56,55.73,0.585,MIntRec2,MIntRec2-OOD,mult,ma,bert-base-uncased,0.0,mult_ma_MIntRec2_multi-class_0_2024-04-26-09-28-13,80.0,8.0,8.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,2e-05
58.44,57.04,57.99,50.23,54.71,50.5,52.07,58.05,45.0,94.43,48.56,55.67,0.5895,MIntRec2,MIntRec2-OOD,mult,ma,bert-base-uncased,0.0,mult_ma_MIntRec2_multi-class_0_2024-04-26-09-28-13,80.0,8.0,4.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,2.9999999999999997e-05
58.88,57.05,56.94,49.93,52.6,50.4,51.66,57.76,44.73,94.63,48.43,55.66,0.5859,MIntRec2,MIntRec2-OOD,mult,ma,bert-base-uncased,0.0,mult_ma_MIntRec2_multi-class_0_2024-04-26-09-28-13,80.0,8.0,4.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,2e-05
57.99,57.59,57.61,52.15,52.99,51.76,51.58,57.84,44.64,94.43,48.88,55.5,0.5895,MIntRec2,MIntRec2-OOD,mult,ma,bert-base-uncased,0.0,mult_ma_MIntRec2_multi-class_0_2024-04-26-09-28-13,80.0,4.0,8.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,2.9999999999999997e-05
58.29,57.89,57.98,52.7,53.78,52.46,51.73,57.86,44.78,94.31,48.75,55.78,0.585,MIntRec2,MIntRec2-OOD,mult,ma,bert-base-uncased,0.0,mult_ma_MIntRec2_multi-class_0_2024-04-26-09-28-13,80.0,4.0,8.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,2e-05
58.78,57.17,57.84,50.41,55.75,50.7,51.5,57.73,44.57,94.43,48.94,55.64,0.5832,MIntRec2,MIntRec2-OOD,mult,ma,bert-base-uncased,0.0,mult_ma_MIntRec2_multi-class_0_2024-04-26-09-28-13,80.0,4.0,4.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,2.9999999999999997e-05
58.98,56.93,57.09,49.62,54.47,50.0,51.53,57.72,44.64,94.37,48.88,55.49,0.5859,MIntRec2,MIntRec2-OOD,mult,ma,bert-base-uncased,0.0,mult_ma_MIntRec2_multi-class_0_2024-04-26-09-28-13,80.0,4.0,4.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,2e-05
59.17,57.9,59.28,51.84,57.28,52.04,51.82,57.78,44.81,94.37,48.62,55.68,0.5732,MIntRec2,MIntRec2-OOD,mult,ma,bert-base-uncased,1.0,mult_ma_MIntRec2_multi-class_0_2024-04-26-09-28-13,80.0,8.0,8.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,2.9999999999999997e-05
58.88,57.62,57.66,51.86,54.34,51.79,51.68,57.7,44.74,94.43,48.82,55.81,0.5759,MIntRec2,MIntRec2-OOD,mult,ma,bert-base-uncased,1.0,mult_ma_MIntRec2_multi-class_0_2024-04-26-09-28-13,80.0,8.0,8.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,2e-05
58.19,57.34,58.04,51.84,53.81,52.38,51.38,57.5,44.51,94.5,48.82,55.75,0.5841,MIntRec2,MIntRec2-OOD,mult,ma,bert-base-uncased,1.0,mult_ma_MIntRec2_multi-class_0_2024-04-26-09-28-13,80.0,8.0,4.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,2.9999999999999997e-05
59.62,59.08,58.96,54.43,55.6,53.9,51.32,57.42,44.49,94.63,49.07,55.76,0.5886,MIntRec2,MIntRec2-OOD,mult,ma,bert-base-uncased,1.0,mult_ma_MIntRec2_multi-class_0_2024-04-26-09-28-13,80.0,8.0,4.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,2e-05
56.91,56.11,56.61,50.83,53.31,50.77,51.62,57.58,44.74,94.31,48.62,55.48,0.575,MIntRec2,MIntRec2-OOD,mult,ma,bert-base-uncased,1.0,mult_ma_MIntRec2_multi-class_0_2024-04-26-09-28-13,80.0,4.0,8.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,2.9999999999999997e-05
