acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,eval_acc,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,warmup_proportion,lr
64.43,61.81,62.02,51.88,56.76,50.98,70.34,85.8,46.83,77.4,36.26,59.51,0.6297,MELD-DA,MELD-DA-OOD,text,ma,bert-base-uncased,0.0,text_ma_MELD-DA_multi-class_0_2024-04-22-08-33-45,0.1,2e-05
63.68,62.92,62.89,54.31,59.45,52.83,65.86,84.08,42.25,79.51,40.16,61.1,0.6307,MELD-DA,MELD-DA-OOD,text,ma,bert-base-uncased,0.0,text_ma_MELD-DA_multi-class_0_2024-04-22-08-33-45,0.1,1e-05
64.91,63.31,63.04,53.81,58.02,52.93,63.05,83.25,39.45,81.63,42.44,62.64,0.6233,MELD-DA,MELD-DA-OOD,text,ma,bert-base-uncased,0.0,text_ma_MELD-DA_multi-class_0_2024-04-22-08-33-45,0.01,2e-05
62.4,60.57,61.05,51.82,53.33,52.56,73.27,86.77,52.31,68.46,33.01,52.77,0.6222,MELD-DA,MELD-DA-OOD,text,ma,bert-base-uncased,0.0,text_ma_MELD-DA_multi-class_0_2024-04-22-08-33-45,0.01,1e-05
64.21,62.69,61.98,53.44,54.61,53.15,72.04,86.41,52.03,69.59,34.63,53.63,0.6382,MELD-DA,MELD-DA-OOD,text,ma,bert-base-uncased,1.0,text_ma_MELD-DA_multi-class_0_2024-04-22-08-33-45,0.1,2e-05
64.05,61.87,61.55,51.65,55.73,50.95,75.96,88.25,53.74,71.38,28.29,54.96,0.6318,MELD-DA,MELD-DA-OOD,text,ma,bert-base-uncased,1.0,text_ma_MELD-DA_multi-class_0_2024-04-22-08-33-45,0.1,1e-05
64.64,62.8,63.29,52.49,53.43,54.34,71.1,85.14,51.93,69.59,33.17,53.63,0.6137,MELD-DA,MELD-DA-OOD,text,ma,bert-base-uncased,1.0,text_ma_MELD-DA_multi-class_0_2024-04-22-08-33-45,0.01,2e-05
64.59,62.55,62.03,52.81,53.96,53.25,74.0,87.11,52.81,70.73,30.41,54.47,0.6179,MELD-DA,MELD-DA-OOD,text,ma,bert-base-uncased,1.0,text_ma_MELD-DA_multi-class_0_2024-04-22-08-33-45,0.01,1e-05
62.13,61.68,62.52,53.95,56.01,53.59,70.11,85.34,48.19,74.63,34.47,57.43,0.6158,MELD-DA,MELD-DA-OOD,text,ma,bert-base-uncased,2.0,text_ma_MELD-DA_multi-class_0_2024-04-22-08-33-45,0.1,2e-05
64.53,63.31,62.64,54.28,54.85,54.22,68.05,84.84,45.24,76.91,36.91,59.13,0.6297,MELD-DA,MELD-DA-OOD,text,ma,bert-base-uncased,2.0,text_ma_MELD-DA_multi-class_0_2024-04-22-08-33-45,0.1,1e-05
64.21,62.27,62.92,51.39,59.52,48.06,71.59,86.32,51.26,69.92,34.15,53.87,0.6105,MELD-DA,MELD-DA-OOD,text,ma,bert-base-uncased,2.0,text_ma_MELD-DA_multi-class_0_2024-04-22-08-33-45,0.01,2e-05
65.44,64.2,63.77,54.78,55.94,54.41,69.28,84.67,49.39,72.52,36.1,55.83,0.6286,MELD-DA,MELD-DA-OOD,text,ma,bert-base-uncased,2.0,text_ma_MELD-DA_multi-class_0_2024-04-22-08-33-45,0.01,1e-05
65.76,64.09,64.09,55.85,57.87,55.13,75.53,88.13,55.57,69.27,29.92,53.35,0.6254,MELD-DA,MELD-DA-OOD,text,ma,bert-base-uncased,3.0,text_ma_MELD-DA_multi-class_0_2024-04-22-08-33-45,0.1,2e-05
63.73,60.92,61.46,51.31,55.93,49.95,77.6,89.08,57.29,66.34,27.64,51.18,0.6318,MELD-DA,MELD-DA-OOD,text,ma,bert-base-uncased,3.0,text_ma_MELD-DA_multi-class_0_2024-04-22-08-33-45,0.1,1e-05
64.11,61.72,61.99,53.14,57.06,51.93,68.53,85.21,46.7,75.93,36.75,58.4,0.6275,MELD-DA,MELD-DA-OOD,text,ma,bert-base-uncased,3.0,text_ma_MELD-DA_multi-class_0_2024-04-22-08-33-45,0.01,2e-05
65.23,62.5,63.65,53.17,56.91,52.07,70.27,85.99,47.06,76.91,35.12,59.09,0.6179,MELD-DA,MELD-DA-OOD,text,ma,bert-base-uncased,3.0,text_ma_MELD-DA_multi-class_0_2024-04-22-08-33-45,0.01,1e-05
65.39,63.53,63.15,53.44,57.14,51.67,71.57,86.25,51.88,71.54,34.63,55.06,0.6211,MELD-DA,MELD-DA-OOD,text,ma,bert-base-uncased,4.0,text_ma_MELD-DA_multi-class_0_2024-04-22-08-33-45,0.1,2e-05
