acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,eval_acc,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id
70.34,69.74,69.75,66.13,67.24,65.96,77.84,76.0,76.26,75.56,28.22,40.05,0.7371,MIntRec,MIntRec-OOD,text,ma,bert-base-uncased,0.0,text_ma_MIntRec_multi-class_0_2024-04-10-13-58-23
70.34,69.37,69.18,63.66,64.87,63.75,78.03,75.97,76.63,69.56,28.44,37.07,0.7281,MIntRec,MIntRec-OOD,text,ma,bert-base-uncased,1.0,text_ma_MIntRec_multi-class_0_2024-04-10-13-58-23
71.01,71.29,72.24,68.92,69.24,69.34,77.6,75.92,76.97,77.33,28.44,40.92,0.7326,MIntRec,MIntRec-OOD,text,ma,bert-base-uncased,2.0,text_ma_MIntRec_multi-class_0_2024-04-10-13-58-23
71.01,70.4,71.43,67.17,71.12,65.85,78.08,75.23,77.37,74.67,27.78,39.61,0.7169,MIntRec,MIntRec-OOD,text,ma,bert-base-uncased,3.0,text_ma_MIntRec_multi-class_0_2024-04-10-13-58-23
71.46,70.84,70.89,65.99,67.46,65.54,77.43,75.17,76.01,73.11,28.67,38.84,0.7348,MIntRec,MIntRec-OOD,text,ma,bert-base-uncased,4.0,text_ma_MIntRec_multi-class_0_2024-04-10-13-58-23
..,,,,,,,,,,,,,,,,,,,
70.34,69.74,69.75,66.13,67.24,65.96,77.57,77.71,76.3,74.22,28.0,39.39,,MIntRec,MIntRec-OOD,text,residual,bert-base-uncased,0.0,text_residual_MIntRec_multi-class_0_2024-05-01-01-45-36
70.34,69.37,69.18,63.66,64.87,63.75,78.16,78.02,76.24,71.78,28.44,38.17,,MIntRec,MIntRec-OOD,text,residual,bert-base-uncased,1.0,text_residual_MIntRec_multi-class_0_2024-05-01-01-45-36
71.01,71.29,72.24,68.92,69.24,69.34,76.9,77.12,75.83,79.33,29.78,41.93,,MIntRec,MIntRec-OOD,text,residual,bert-base-uncased,2.0,text_residual_MIntRec_multi-class_0_2024-05-01-01-45-36
71.01,70.4,71.43,67.17,71.12,65.85,78.0,77.03,77.48,76.0,28.89,40.27,,MIntRec,MIntRec-OOD,text,residual,bert-base-uncased,3.0,text_residual_MIntRec_multi-class_0_2024-05-01-01-45-36
71.46,70.84,70.89,65.99,67.46,65.54,76.54,75.96,75.48,75.33,29.78,39.83,,MIntRec,MIntRec-OOD,text,residual,bert-base-uncased,4.0,text_residual_MIntRec_multi-class_0_2024-05-01-01-45-36
70.34,69.74,69.75,66.13,67.24,65.96,74.89,74.57,72.83,80.89,31.11,42.36,,MIntRec,MIntRec-OOD,text,vim,bert-base-uncased,0.0,text_vim_MIntRec_multi-class_0_2024-05-01-01-46-19
70.34,69.37,69.18,63.66,64.87,63.75,78.29,78.2,76.49,73.56,26.89,38.95,,MIntRec,MIntRec-OOD,text,vim,bert-base-uncased,1.0,text_vim_MIntRec_multi-class_0_2024-05-01-01-46-19
71.01,71.29,72.24,68.92,69.24,69.34,76.29,75.42,75.16,76.44,30.67,40.49,,MIntRec,MIntRec-OOD,text,vim,bert-base-uncased,2.0,text_vim_MIntRec_multi-class_0_2024-05-01-01-46-19
71.01,70.4,71.43,67.17,71.12,65.85,75.95,74.74,75.34,79.56,30.67,42.04,,MIntRec,MIntRec-OOD,text,vim,bert-base-uncased,3.0,text_vim_MIntRec_multi-class_0_2024-05-01-01-46-19
71.46,70.84,70.89,65.99,67.46,65.54,75.89,76.45,74.82,76.89,31.78,40.72,,MIntRec,MIntRec-OOD,text,vim,bert-base-uncased,4.0,text_vim_MIntRec_multi-class_0_2024-05-01-01-46-19
70.34,69.74,69.75,66.13,67.24,65.96,75.91,73.22,74.79,77.56,29.78,41.05,,MIntRec,MIntRec-OOD,text,energy,bert-base-uncased,0.0,text_energy_MIntRec_multi-class_0_2024-05-01-01-46-48
70.34,69.37,69.18,63.66,64.87,63.75,76.51,74.5,73.74,79.56,29.78,41.93,,MIntRec,MIntRec-OOD,text,energy,bert-base-uncased,1.0,text_energy_MIntRec_multi-class_0_2024-05-01-01-46-48
71.01,71.29,72.24,68.92,69.24,69.34,72.92,72.28,70.17,83.33,33.33,43.92,,MIntRec,MIntRec-OOD,text,energy,bert-base-uncased,2.0,text_energy_MIntRec_multi-class_0_2024-05-01-01-46-48
71.01,70.4,71.43,67.17,71.12,65.85,74.22,72.2,72.92,78.67,31.33,41.59,,MIntRec,MIntRec-OOD,text,energy,bert-base-uncased,3.0,text_energy_MIntRec_multi-class_0_2024-05-01-01-46-48
71.46,70.84,70.89,65.99,67.46,65.54,75.6,73.96,73.35,79.11,29.56,41.82,,MIntRec,MIntRec-OOD,text,energy,bert-base-uncased,4.0,text_energy_MIntRec_multi-class_0_2024-05-01-01-46-48
70.34,69.74,69.75,66.13,67.24,65.96,75.22,72.91,73.31,78.67,30.67,41.6,,MIntRec,MIntRec-OOD,text,maxlogit,bert-base-uncased,0.0,text_maxlogit_MIntRec_multi-class_0_2024-05-01-01-47-08
70.34,69.37,69.18,63.66,64.87,63.75,75.81,73.99,73.59,77.11,30.22,40.83,,MIntRec,MIntRec-OOD,text,maxlogit,bert-base-uncased,1.0,text_maxlogit_MIntRec_multi-class_0_2024-05-01-01-47-08
71.01,71.29,72.24,68.92,69.24,69.34,72.85,72.24,70.24,82.44,33.33,43.48,,MIntRec,MIntRec-OOD,text,maxlogit,bert-base-uncased,2.0,text_maxlogit_MIntRec_multi-class_0_2024-05-01-01-47-08
71.01,70.4,71.43,67.17,71.12,65.85,73.98,72.09,72.98,79.33,32.44,41.93,,MIntRec,MIntRec-OOD,text,maxlogit,bert-base-uncased,3.0,text_maxlogit_MIntRec_multi-class_0_2024-05-01-01-47-08
71.46,70.84,70.89,65.99,67.46,65.54,74.79,73.5,72.42,80.22,31.56,42.26,,MIntRec,MIntRec-OOD,text,maxlogit,bert-base-uncased,4.0,text_maxlogit_MIntRec_multi-class_0_2024-05-01-01-47-08
70.34,69.74,69.75,66.13,67.24,65.96,73.98,72.94,71.13,82.89,32.67,43.7,,MIntRec,MIntRec-OOD,text,msp,bert-base-uncased,0.0,text_msp_MIntRec_multi-class_0_2024-05-01-01-47-28
70.34,69.37,69.18,63.66,64.87,63.75,74.5,73.0,72.88,76.67,31.56,40.6,,MIntRec,MIntRec-OOD,text,msp,bert-base-uncased,1.0,text_msp_MIntRec_multi-class_0_2024-05-01-01-47-28
71.01,71.29,72.24,68.92,69.24,69.34,72.75,72.49,69.16,83.56,33.78,43.8,,MIntRec,MIntRec-OOD,text,msp,bert-base-uncased,2.0,text_msp_MIntRec_multi-class_0_2024-05-01-01-47-28
71.01,70.4,71.43,67.17,71.12,65.85,73.31,71.97,72.03,82.44,31.56,43.48,,MIntRec,MIntRec-OOD,text,msp,bert-base-uncased,3.0,text_msp_MIntRec_multi-class_0_2024-05-01-01-47-28
71.46,70.84,70.89,65.99,67.46,65.54,73.15,72.95,70.73,82.44,32.67,43.48,,MIntRec,MIntRec-OOD,text,msp,bert-base-uncased,4.0,text_msp_MIntRec_multi-class_0_2024-05-01-01-47-28
