acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,eval_acc,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,lr,weight_decay,warmup_proportion
57.65,55.86,56.86,48.14,53.54,48.24,50.9,57.15,44.19,94.88,49.14,55.83,0.5832,MIntRec2,MIntRec2-OOD,text,ma,bert-base-uncased,0.0,text_ma_MIntRec2_multi-class_0_2024-04-13-08-51-48,2e-05,0.1,
57.65,55.86,56.86,48.14,53.54,48.24,50.9,57.15,44.19,94.88,49.14,55.83,0.5832,MIntRec2,MIntRec2-OOD,text,ma,bert-base-uncased,0.0,text_ma_MIntRec2_multi-class_0_2024-04-13-08-51-48,2e-05,0.01,
57.5,56.59,57.07,50.31,53.27,50.14,51.01,57.21,44.36,94.69,49.46,55.8,0.5868,MIntRec2,MIntRec2-OOD,text,ma,bert-base-uncased,0.0,text_ma_MIntRec2_multi-class_0_2024-04-13-09-12-06,2e-05,0.1,0.01
..,,,,,,,,,,,,,,,,,,,,,,
56.57,54.85,54.61,47.01,48.23,47.81,51.01,57.16,44.4,94.5,49.26,55.56,0.5796,MIntRec2,MIntRec2-OOD,text,ma,bert-base-uncased,0.0,text_ma_MIntRec2_multi-class_0_2024-04-13-09-16-02,3e-05,0.1,0.1
57.65,55.86,56.86,48.14,53.54,48.24,50.9,57.15,44.19,94.88,49.14,55.83,0.5832,MIntRec2,MIntRec2-OOD,text,ma,bert-base-uncased,0.0,text_ma_MIntRec2_multi-class_0_2024-04-13-09-16-02,2e-05,0.1,0.1
57.45,55.47,55.46,47.17,49.36,48.07,50.76,56.99,44.01,94.88,49.33,55.82,0.5841,MIntRec2,MIntRec2-OOD,text,ma,bert-base-uncased,0.0,text_ma_MIntRec2_multi-class_0_2024-04-13-09-16-02,3e-05,0.1,0.05
57.8,57.33,57.27,52.5,53.73,51.98,51.06,57.24,44.36,94.56,48.82,55.6,0.5841,MIntRec2,MIntRec2-OOD,text,ma,bert-base-uncased,0.0,text_ma_MIntRec2_multi-class_0_2024-04-13-09-16-02,2e-05,0.1,0.05
58.63,57.75,58.37,51.8,55.71,50.88,50.92,57.3,44.47,94.5,49.33,55.6,0.5931,MIntRec2,MIntRec2-OOD,text,ma,bert-base-uncased,0.0,text_ma_MIntRec2_multi-class_0_2024-04-13-09-16-02,3e-05,0.1,0.01
57.5,56.59,57.07,50.31,53.27,50.14,51.01,57.21,44.36,94.69,49.46,55.8,0.5868,MIntRec2,MIntRec2-OOD,text,ma,bert-base-uncased,0.0,text_ma_MIntRec2_multi-class_0_2024-04-13-09-16-02,2e-05,0.1,0.01
57.99,56.02,54.96,47.99,48.08,48.88,51.15,57.43,44.43,94.75,49.07,55.72,0.5687,MIntRec2,MIntRec2-OOD,text,ma,bert-base-uncased,1.0,text_ma_MIntRec2_multi-class_0_2024-04-13-09-16-02,3e-05,0.1,0.1
57.45,56.19,55.7,49.34,49.97,49.91,51.27,57.55,44.48,94.56,48.82,55.67,0.585,MIntRec2,MIntRec2-OOD,text,ma,bert-base-uncased,1.0,text_ma_MIntRec2_multi-class_0_2024-04-13-09-16-02,2e-05,0.1,0.1
58.09,56.7,56.69,50.34,53.9,49.54,50.86,57.14,44.3,94.69,49.26,55.69,0.5741,MIntRec2,MIntRec2-OOD,text,ma,bert-base-uncased,1.0,text_ma_MIntRec2_multi-class_0_2024-04-13-09-16-02,3e-05,0.1,0.05
58.48,57.02,57.42,49.51,53.41,49.6,51.0,57.37,44.4,94.75,49.33,55.77,0.5759,MIntRec2,MIntRec2-OOD,text,ma,bert-base-uncased,1.0,text_ma_MIntRec2_multi-class_0_2024-04-13-09-16-02,2e-05,0.1,0.05
