acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,beta_shift,dropout_prob,warmup_proportion,lr,aligned_method,weight_decay,scale
58.44,57.55,59.12,52.1,59.11,51.51,70.71,80.06,54.42,85.63,34.75,55.74,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0,mag_bert_ma_MIntRec2_multi-class_0_2024-05-18-02-22-57,0.01,0.2,0.05,2e-05,conv1d,0.1,2
58.98,57.96,58.39,52.67,55.95,52.29,70.51,79.52,55.51,85.8,34.25,55.84,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,1,mag_bert_ma_MIntRec2_multi-class_0_2024-05-18-02-22-57,0.01,0.2,0.05,2e-05,conv1d,0.1,2
58.34,57.26,57.15,52.35,53.94,52.3,70.27,79.49,54.89,84.46,34.34,55.0,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,2,mag_bert_ma_MIntRec2_multi-class_0_2024-05-18-02-22-57,0.01,0.2,0.05,2e-05,conv1d,0.1,2
58.73,57.51,57.98,52.12,56.49,51.68,70.37,79.36,55.44,84.63,34.75,55.11,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,3,mag_bert_ma_MIntRec2_multi-class_0_2024-05-18-02-22-57,0.01,0.2,0.05,2e-05,conv1d,0.1,2
58.19,56.85,57.92,52.48,58.16,51.78,72.16,80.7,56.19,86.05,33.25,56.0,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,4,mag_bert_ma_MIntRec2_multi-class_0_2024-05-18-02-22-57,0.01,0.2,0.05,2e-05,conv1d,0.1,2
58.44,57.55,59.12,52.1,59.11,51.51,69.82,79.89,53.99,85.38,35.76,55.58,MIntRec2,MIntRec2-OOD,mag_bert,residual,bert-base-uncased,0,mag_bert_residual_MIntRec2_multi-class_0_2024-05-18-02-25-52,0.01,0.2,0.05,2e-05,conv1d,0.1,2
58.98,57.96,58.39,52.67,55.95,52.29,69.84,79.55,55.44,84.13,35.59,54.79,MIntRec2,MIntRec2-OOD,mag_bert,residual,bert-base-uncased,1,mag_bert_residual_MIntRec2_multi-class_0_2024-05-18-02-25-52,0.01,0.2,0.05,2e-05,conv1d,0.1,2
58.34,57.26,57.15,52.35,53.94,52.3,70.15,79.73,55.42,84.29,34.67,54.9,MIntRec2,MIntRec2-OOD,mag_bert,residual,bert-base-uncased,2,mag_bert_residual_MIntRec2_multi-class_0_2024-05-18-02-25-52,0.01,0.2,0.05,2e-05,conv1d,0.1,2
58.73,57.51,57.98,52.12,56.49,51.68,68.67,79.03,53.13,88.55,36.42,57.49,MIntRec2,MIntRec2-OOD,mag_bert,residual,bert-base-uncased,3,mag_bert_residual_MIntRec2_multi-class_0_2024-05-18-02-25-52,0.01,0.2,0.05,2e-05,conv1d,0.1,2
58.19,56.85,57.92,52.48,58.16,51.78,71.33,80.58,55.53,86.38,33.75,56.19,MIntRec2,MIntRec2-OOD,mag_bert,residual,bert-base-uncased,4,mag_bert_residual_MIntRec2_multi-class_0_2024-05-18-02-25-52,0.01,0.2,0.05,2e-05,conv1d,0.1,2
