acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,beta_shift,dropout_prob,warmup_proportion,lr,aligned_method,weight_decay,scale
73.48,72.99,73.17,69.33,70.0,69.51,73.67,73.92,70.63,84.22,32.0,44.35,MIntRec,MIntRec-OOD,mag_bert,ma,bert-base-uncased,0,mag_bert_ma_MIntRec_multi-class_0_2024-05-19-13-29-28,0.006,0.4,0.1,2e-05,ctc,0.03,32
71.01,69.49,69.1,64.95,65.59,65.8,77.99,76.5,76.86,74.44,28.89,39.5,MIntRec,MIntRec-OOD,mag_bert,ma,bert-base-uncased,1,mag_bert_ma_MIntRec_multi-class_0_2024-05-19-13-29-28,0.006,0.4,0.1,2e-05,ctc,0.03,32
70.11,69.44,69.34,65.75,66.33,66.17,73.97,74.07,69.55,85.33,31.78,44.91,MIntRec,MIntRec-OOD,mag_bert,ma,bert-base-uncased,2,mag_bert_ma_MIntRec_multi-class_0_2024-05-19-13-29-28,0.006,0.4,0.1,2e-05,ctc,0.03,32
72.13,72.21,72.89,68.5,68.3,69.39,74.95,73.99,72.82,79.78,31.56,42.15,MIntRec,MIntRec-OOD,mag_bert,ma,bert-base-uncased,3,mag_bert_ma_MIntRec_multi-class_0_2024-05-19-13-29-28,0.006,0.4,0.1,2e-05,ctc,0.03,32
73.93,73.24,73.24,68.76,69.76,68.91,75.34,74.97,73.58,77.11,30.67,40.83,MIntRec,MIntRec-OOD,mag_bert,ma,bert-base-uncased,4,mag_bert_ma_MIntRec_multi-class_0_2024-05-19-13-29-28,0.006,0.4,0.1,2e-05,ctc,0.03,32
73.48,72.99,73.17,69.33,70.0,69.51,73.9,74.01,70.89,85.78,33.11,44.9,MIntRec,MIntRec-OOD,mag_bert,residual,bert-base-uncased,0,mag_bert_residual_MIntRec_multi-class_0_2024-05-19-13-31-11,0.006,0.4,0.1,2e-05,ctc,0.03,32
71.01,69.49,69.1,64.95,65.59,65.8,77.7,77.95,76.26,74.67,29.56,39.61,MIntRec,MIntRec-OOD,mag_bert,residual,bert-base-uncased,1,mag_bert_residual_MIntRec_multi-class_0_2024-05-19-13-31-11,0.006,0.4,0.1,2e-05,ctc,0.03,32
70.11,69.44,69.34,65.75,66.33,66.17,71.23,73.69,66.81,89.56,35.56,46.89,MIntRec,MIntRec-OOD,mag_bert,residual,bert-base-uncased,2,mag_bert_residual_MIntRec_multi-class_0_2024-05-19-13-31-11,0.006,0.4,0.1,2e-05,ctc,0.03,32
72.13,72.21,72.89,68.5,68.3,69.39,73.42,74.18,72.5,77.56,31.78,41.05,MIntRec,MIntRec-OOD,mag_bert,residual,bert-base-uncased,3,mag_bert_residual_MIntRec_multi-class_0_2024-05-19-13-31-11,0.006,0.4,0.1,2e-05,ctc,0.03,32
73.93,73.24,73.24,68.76,69.76,68.91,72.97,74.59,69.61,82.22,33.33,43.37,MIntRec,MIntRec-OOD,mag_bert,residual,bert-base-uncased,4,mag_bert_residual_MIntRec_multi-class_0_2024-05-19-13-31-11,0.006,0.4,0.1,2e-05,ctc,0.03,32
