acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,lr_main,weight_decay_main,lr_bert,weight_decay_bert,lr_mmilb,weight_decay_mmilb,alpha,dropout_a,dropout_v,dropout_prj,n_layer,cpc_layers,d_vh,d_ah,d_vout,d_aout,d_prjh,scale,beta
73.48,73.49,74.09,70.22,70.78,70.53,76.33,76.09,75.19,74.89,30.44,39.72,MIntRec,MIntRec-OOD,mmim,ma,bert-base-uncased,0,mmim_ma_MIntRec_multi-class_0_2024-05-19-13-36-48,0.0002,0.0003,4e-05,8e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,32,16,8,8,512,20,0.5
69.89,69.84,70.56,66.09,67.38,66.11,76.29,75.69,73.7,80.22,31.78,42.25,MIntRec,MIntRec-OOD,mmim,ma,bert-base-uncased,1,mmim_ma_MIntRec_multi-class_0_2024-05-19-13-36-48,0.0002,0.0003,4e-05,8e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,32,16,8,8,512,20,0.5
72.36,72.96,74.37,70.41,71.28,70.88,76.05,76.76,72.25,81.56,30.89,42.81,MIntRec,MIntRec-OOD,mmim,ma,bert-base-uncased,2,mmim_ma_MIntRec_multi-class_0_2024-05-19-13-36-48,0.0002,0.0003,4e-05,8e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,32,16,8,8,512,20,0.5
72.58,71.97,72.42,68.24,69.67,68.25,76.9,75.89,74.0,75.78,28.89,40.16,MIntRec,MIntRec-OOD,mmim,ma,bert-base-uncased,3,mmim_ma_MIntRec_multi-class_0_2024-05-19-13-36-48,0.0002,0.0003,4e-05,8e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,32,16,8,8,512,20,0.5
72.58,72.6,72.79,69.93,70.44,69.74,77.11,77.05,74.86,80.89,30.22,42.7,MIntRec,MIntRec-OOD,mmim,ma,bert-base-uncased,4,mmim_ma_MIntRec_multi-class_0_2024-05-19-13-36-48,0.0002,0.0003,4e-05,8e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,32,16,8,8,512,20,0.5
73.48,73.49,74.09,70.22,70.78,70.53,76.81,77.14,74.35,75.56,30.44,39.94,MIntRec,MIntRec-OOD,mmim,residual,bert-base-uncased,0,mmim_residual_MIntRec_multi-class_0_2024-05-19-13-38-23,0.0002,0.0003,4e-05,8e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,32,16,8,8,512,20,0.5
69.89,69.84,70.56,66.09,67.38,66.11,75.18,75.65,71.99,76.89,30.89,40.72,MIntRec,MIntRec-OOD,mmim,residual,bert-base-uncased,1,mmim_residual_MIntRec_multi-class_0_2024-05-19-13-38-23,0.0002,0.0003,4e-05,8e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,32,16,8,8,512,20,0.5
72.36,72.96,74.37,70.41,71.28,70.88,75.7,77.29,73.16,79.33,30.44,41.93,MIntRec,MIntRec-OOD,mmim,residual,bert-base-uncased,2,mmim_residual_MIntRec_multi-class_0_2024-05-19-13-38-23,0.0002,0.0003,4e-05,8e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,32,16,8,8,512,20,0.5
72.58,71.97,72.42,68.24,69.67,68.25,77.3,77.34,75.77,74.0,30.67,39.16,MIntRec,MIntRec-OOD,mmim,residual,bert-base-uncased,3,mmim_residual_MIntRec_multi-class_0_2024-05-19-13-38-23,0.0002,0.0003,4e-05,8e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,32,16,8,8,512,20,0.5
72.58,72.6,72.79,69.93,70.44,69.74,76.75,77.86,73.01,82.67,28.89,43.47,MIntRec,MIntRec-OOD,mmim,residual,bert-base-uncased,4,mmim_residual_MIntRec_multi-class_0_2024-05-19-13-38-23,0.0002,0.0003,4e-05,8e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,32,16,8,8,512,20,0.5
73.48,73.49,74.09,70.22,70.78,70.53,77.81,77.9,75.76,72.22,29.11,38.06,MIntRec,MIntRec-OOD,mmim,vim,bert-base-uncased,0,mmim_vim_MIntRec_multi-class_0_2024-05-19-13-39-44,0.0002,0.0003,4e-05,8e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,32,16,8,8,512,20,0.5
69.89,69.84,70.56,66.09,67.38,66.11,76.47,76.75,74.15,73.33,31.11,38.83,MIntRec,MIntRec-OOD,mmim,vim,bert-base-uncased,1,mmim_vim_MIntRec_multi-class_0_2024-05-19-13-39-44,0.0002,0.0003,4e-05,8e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,32,16,8,8,512,20,0.5
72.36,72.96,74.37,70.41,71.28,70.88,77.01,77.44,75.19,75.78,30.22,40.16,MIntRec,MIntRec-OOD,mmim,vim,bert-base-uncased,2,mmim_vim_MIntRec_multi-class_0_2024-05-19-13-39-44,0.0002,0.0003,4e-05,8e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,32,16,8,8,512,20,0.5
72.58,71.97,72.42,68.24,69.67,68.25,78.17,78.28,76.77,69.11,31.11,36.85,MIntRec,MIntRec-OOD,mmim,vim,bert-base-uncased,3,mmim_vim_MIntRec_multi-class_0_2024-05-19-13-39-44,0.0002,0.0003,4e-05,8e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,32,16,8,8,512,20,0.5
