acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,lr,weight_decay,warmup_proportion,hidden_dims,num_attention_heads,attention_probs_dropout_prob,hidden_dropout_prob,intermediate_size,num_hidden_layers,max_position_embeddings,aligned_method,multiple_ood,select_number_min,select_number_max,alpha,mlp_hidden_size,mlp_dropout,scale,sampler,eval_acc
59.37,58.37,59.01,53.23,55.06,53.79,72.08,80.35,57.81,81.29,33.58,53.0,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec2_multi-class_0_2024-05-18-02-20-47,1e-05,0.1,0.01,768.0,6.0,0.3,0.3,768.0,6.0,768.0,ctc,1.0,2.0,2.0,2.0,256.0,0.3,8.0,,
60.35,59.05,60.07,53.08,57.83,52.85,73.32,81.16,60.09,80.37,33.42,52.43,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MIntRec2_multi-class_0_2024-05-18-02-20-47,1e-05,0.1,0.01,768.0,6.0,0.3,0.3,768.0,6.0,768.0,ctc,1.0,2.0,2.0,2.0,256.0,0.3,8.0,,
58.53,57.8,58.52,52.23,53.91,52.25,71.53,80.11,57.44,82.37,35.0,53.67,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,2.0,msz_ma_MIntRec2_multi-class_0_2024-05-18-02-20-47,1e-05,0.1,0.01,768.0,6.0,0.3,0.3,768.0,6.0,768.0,ctc,1.0,2.0,2.0,2.0,256.0,0.3,8.0,,
59.62,58.97,59.48,53.5,55.44,53.37,70.8,79.6,55.82,84.71,34.59,55.16,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,3.0,msz_ma_MIntRec2_multi-class_0_2024-05-18-02-20-47,1e-05,0.1,0.01,768.0,6.0,0.3,0.3,768.0,6.0,768.0,ctc,1.0,2.0,2.0,2.0,256.0,0.3,8.0,,
60.06,59.35,59.6,54.86,57.47,54.21,71.28,80.29,56.68,82.29,35.34,53.63,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,4.0,msz_ma_MIntRec2_multi-class_0_2024-05-18-02-20-47,1e-05,0.1,0.01,768.0,6.0,0.3,0.3,768.0,6.0,768.0,ctc,1.0,2.0,2.0,2.0,256.0,0.3,8.0,,
59.37,58.37,59.01,53.23,55.06,53.79,71.76,80.7,56.49,82.87,33.92,54.0,MIntRec2,MIntRec2-OOD,msz,residual,bert-base-uncased,0.0,msz_residual_MIntRec2_multi-class_0_2024-05-18-02-27-27,1e-05,0.1,0.01,768.0,6.0,0.3,0.3,768.0,6.0,768.0,ctc,1.0,2.0,2.0,2.0,256.0,0.3,8.0,,
60.35,59.05,60.07,53.08,57.83,52.85,73.09,81.91,59.39,80.79,33.0,52.65,MIntRec2,MIntRec2-OOD,msz,residual,bert-base-uncased,1.0,msz_residual_MIntRec2_multi-class_0_2024-05-18-02-27-27,1e-05,0.1,0.01,768.0,6.0,0.3,0.3,768.0,6.0,768.0,ctc,1.0,2.0,2.0,2.0,256.0,0.3,8.0,,
58.53,57.8,58.52,52.23,53.91,52.25,71.64,80.95,57.35,81.95,34.25,53.42,MIntRec2,MIntRec2-OOD,msz,residual,bert-base-uncased,2.0,msz_residual_MIntRec2_multi-class_0_2024-05-18-02-27-27,1e-05,0.1,0.01,768.0,6.0,0.3,0.3,768.0,6.0,768.0,ctc,1.0,2.0,2.0,2.0,256.0,0.3,8.0,,
59.62,58.97,59.48,53.5,55.44,53.37,70.33,80.1,55.18,85.38,35.25,55.56,MIntRec2,MIntRec2-OOD,msz,residual,bert-base-uncased,3.0,msz_residual_MIntRec2_multi-class_0_2024-05-18-02-27-27,1e-05,0.1,0.01,768.0,6.0,0.3,0.3,768.0,6.0,768.0,ctc,1.0,2.0,2.0,2.0,256.0,0.3,8.0,,
60.06,59.35,59.6,54.86,57.47,54.21,71.39,81.18,56.37,82.71,34.25,53.9,MIntRec2,MIntRec2-OOD,msz,residual,bert-base-uncased,4.0,msz_residual_MIntRec2_multi-class_0_2024-05-18-02-27-27,1e-05,0.1,0.01,768.0,6.0,0.3,0.3,768.0,6.0,768.0,ctc,1.0,2.0,2.0,2.0,256.0,0.3,8.0,,
59.37,58.37,59.01,53.23,55.06,53.79,72.29,80.25,57.99,82.87,33.25,54.0,MIntRec2,MIntRec2-OOD,msz,vim,bert-base-uncased,0.0,msz_vim_MIntRec2_multi-class_0_2024-05-18-02-32-14,1e-05,0.1,0.01,768.0,6.0,0.3,0.3,768.0,6.0,768.0,ctc,1.0,2.0,2.0,2.0,256.0,0.3,8.0,,
60.35,59.05,60.07,53.08,57.83,52.85,73.76,82.03,60.63,79.28,32.75,51.74,MIntRec2,MIntRec2-OOD,msz,vim,bert-base-uncased,1.0,msz_vim_MIntRec2_multi-class_0_2024-05-18-02-32-14,1e-05,0.1,0.01,768.0,6.0,0.3,0.3,768.0,6.0,768.0,ctc,1.0,2.0,2.0,2.0,256.0,0.3,8.0,,
58.53,57.8,58.52,52.23,53.91,52.25,73.29,81.77,59.43,81.62,33.25,53.21,MIntRec2,MIntRec2-OOD,msz,vim,bert-base-uncased,2.0,msz_vim_MIntRec2_multi-class_0_2024-05-18-02-32-14,1e-05,0.1,0.01,768.0,6.0,0.3,0.3,768.0,6.0,768.0,ctc,1.0,2.0,2.0,2.0,256.0,0.3,8.0,,
59.62,58.97,59.48,53.5,55.44,53.37,70.33,79.75,55.74,84.21,35.17,54.84,MIntRec2,MIntRec2-OOD,msz,vim,bert-base-uncased,3.0,msz_vim_MIntRec2_multi-class_0_2024-05-18-02-32-14,1e-05,0.1,0.01,768.0,6.0,0.3,0.3,768.0,6.0,768.0,ctc,1.0,2.0,2.0,2.0,256.0,0.3,8.0,,
60.06,59.35,59.6,54.86,57.47,54.21,70.88,80.1,56.32,83.96,34.09,54.69,MIntRec2,MIntRec2-OOD,msz,vim,bert-base-uncased,4.0,msz_vim_MIntRec2_multi-class_0_2024-05-18-02-32-14,1e-05,0.1,0.01,768.0,6.0,0.3,0.3,768.0,6.0,768.0,ctc,1.0,2.0,2.0,2.0,256.0,0.3,8.0,,
59.37,58.37,59.01,53.23,55.06,53.79,68.52,76.97,55.0,84.71,35.84,55.16,MIntRec2,MIntRec2-OOD,msz,energy,bert-base-uncased,0.0,msz_energy_MIntRec2_multi-class_0_2024-05-18-02-36-53,1e-05,0.1,0.01,768.0,6.0,0.3,0.3,768.0,6.0,768.0,ctc,1.0,2.0,2.0,2.0,256.0,0.3,8.0,,
60.35,59.05,60.07,53.08,57.83,52.85,70.62,79.38,57.54,81.04,34.5,52.83,MIntRec2,MIntRec2-OOD,msz,energy,bert-base-uncased,1.0,msz_energy_MIntRec2_multi-class_0_2024-05-18-02-36-53,1e-05,0.1,0.01,768.0,6.0,0.3,0.3,768.0,6.0,768.0,ctc,1.0,2.0,2.0,2.0,256.0,0.3,8.0,,
58.53,57.8,58.52,52.23,53.91,52.25,70.83,79.83,56.83,82.87,34.42,54.0,MIntRec2,MIntRec2-OOD,msz,energy,bert-base-uncased,2.0,msz_energy_MIntRec2_multi-class_0_2024-05-18-02-36-53,1e-05,0.1,0.01,768.0,6.0,0.3,0.3,768.0,6.0,768.0,ctc,1.0,2.0,2.0,2.0,256.0,0.3,8.0,,
