acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,lr,weight_decay,warmup_proportion,hidden_dims,num_attention_heads,attention_probs_dropout_prob,hidden_dropout_prob,intermediate_size,num_hidden_layers,max_position_embeddings,aligned_method,sampler,multiple_ood,select_number_min,select_number_max,alpha,mlp_hidden_size,mlp_dropout,scale
74.16,74.0,74.63,71.66,73.24,70.96,82.23,79.91,83.19,57.33,25.78,30.99,MIntRec,MIntRec-OOD,msz,ma,bert-base-uncased,0,msz_ma_MIntRec_multi-class_0_2024-05-19-13-56-17,2e-05,0.1,0.1,768,4,0.3,0.1,768,4,900,ctc,dir,1,2,3,4,256,0.3,16
74.61,73.94,74.15,70.48,71.84,70.46,81.13,79.21,80.75,64.22,25.11,34.3,MIntRec,MIntRec-OOD,msz,ma,bert-base-uncased,1,msz_ma_MIntRec_multi-class_0_2024-05-19-13-56-17,2e-05,0.1,0.1,768,4,0.3,0.1,768,4,900,ctc,dir,1,2,3,4,256,0.3,16
71.91,71.91,72.51,68.76,70.14,68.04,81.56,79.94,82.05,63.33,25.33,33.75,MIntRec,MIntRec-OOD,msz,ma,bert-base-uncased,2,msz_ma_MIntRec_multi-class_0_2024-05-19-13-56-17,2e-05,0.1,0.1,768,4,0.3,0.1,768,4,900,ctc,dir,1,2,3,4,256,0.3,16
73.26,73.02,73.15,70.45,71.52,69.83,81.47,79.57,81.75,62.0,24.89,33.31,MIntRec,MIntRec-OOD,msz,ma,bert-base-uncased,3,msz_ma_MIntRec_multi-class_0_2024-05-19-13-56-17,2e-05,0.1,0.1,768,4,0.3,0.1,768,4,900,ctc,dir,1,2,3,4,256,0.3,16
72.36,72.27,72.92,69.48,71.36,68.53,81.65,79.9,82.27,63.78,26.44,34.08,MIntRec,MIntRec-OOD,msz,ma,bert-base-uncased,4,msz_ma_MIntRec_multi-class_0_2024-05-19-13-56-17,2e-05,0.1,0.1,768,4,0.3,0.1,768,4,900,ctc,dir,1,2,3,4,256,0.3,16
74.16,74.0,74.63,71.66,73.24,70.96,79.28,79.27,79.89,66.44,28.67,35.52,MIntRec,MIntRec-OOD,msz,residual,bert-base-uncased,0,msz_residual_MIntRec_multi-class_0_2024-05-19-13-58-34,2e-05,0.1,0.1,768,4,0.3,0.1,768,4,900,ctc,dir,1,2,3,4,256,0.3,16
74.61,73.94,74.15,70.48,71.84,70.46,80.56,79.41,80.64,64.89,26.67,34.75,MIntRec,MIntRec-OOD,msz,residual,bert-base-uncased,1,msz_residual_MIntRec_multi-class_0_2024-05-19-13-58-34,2e-05,0.1,0.1,768,4,0.3,0.1,768,4,900,ctc,dir,1,2,3,4,256,0.3,16
71.91,71.91,72.51,68.76,70.14,68.04,80.33,81.51,78.42,70.89,25.56,37.73,MIntRec,MIntRec-OOD,msz,residual,bert-base-uncased,2,msz_residual_MIntRec_multi-class_0_2024-05-19-13-58-34,2e-05,0.1,0.1,768,4,0.3,0.1,768,4,900,ctc,dir,1,2,3,4,256,0.3,16
73.26,73.02,73.15,70.45,71.52,69.83,80.69,80.99,79.58,72.0,27.33,38.17,MIntRec,MIntRec-OOD,msz,residual,bert-base-uncased,3,msz_residual_MIntRec_multi-class_0_2024-05-19-13-58-34,2e-05,0.1,0.1,768,4,0.3,0.1,768,4,900,ctc,dir,1,2,3,4,256,0.3,16
72.36,72.27,72.92,69.48,71.36,68.53,80.53,81.17,80.47,69.11,28.67,36.74,MIntRec,MIntRec-OOD,msz,residual,bert-base-uncased,4,msz_residual_MIntRec_multi-class_0_2024-05-19-13-58-34,2e-05,0.1,0.1,768,4,0.3,0.1,768,4,900,ctc,dir,1,2,3,4,256,0.3,16
