acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,dst_feature_dims,nheads,n_levels,attn_dropout,attn_dropout_v,attn_dropout_a,relu_dropout,embed_dropout,res_dropout,output_dropout,text_dropout,conv1d_kernel_size_l,conv1d_kernel_size_v,conv1d_kernel_size_a,lr
57.99,57.59,57.61,52.15,52.99,51.76,68.73,78.56,52.35,87.97,36.01,57.14,MIntRec2,MIntRec2-OOD,mult,ma,bert-base-uncased,0,mult_ma_MIntRec2_multi-class_0_2024-05-18-02-49-53,80,4,8,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5,1,1,2.9999999999999997e-05
56.91,56.11,56.61,50.83,53.31,50.77,69.94,79.65,52.74,87.3,34.25,56.79,MIntRec2,MIntRec2-OOD,mult,ma,bert-base-uncased,1,mult_ma_MIntRec2_multi-class_0_2024-05-18-02-49-53,80,4,8,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5,1,1,3e-05
58.58,58.0,57.84,53.62,54.52,53.33,69.79,79.41,53.14,87.22,35.51,56.72,MIntRec2,MIntRec2-OOD,mult,ma,bert-base-uncased,2,mult_ma_MIntRec2_multi-class_0_2024-05-18-02-49-53,80,4,8,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5,1,1,2.9999999999999997e-05
59.81,58.23,58.74,52.11,57.21,52.18,70.82,79.81,54.73,83.96,34.75,54.65,MIntRec2,MIntRec2-OOD,mult,ma,bert-base-uncased,3,mult_ma_MIntRec2_multi-class_0_2024-05-18-02-49-53,80,4,8,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5,1,1,3e-05
59.52,58.26,60.15,51.91,59.21,50.36,70.53,79.77,53.66,88.05,35.09,57.26,MIntRec2,MIntRec2-OOD,mult,ma,bert-base-uncased,4,mult_ma_MIntRec2_multi-class_0_2024-05-18-02-49-53,80,4,8,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5,1,1,2.9999999999999997e-05
57.99,57.59,57.61,52.15,52.99,51.76,69.0,78.99,52.77,85.46,35.67,55.63,MIntRec2,MIntRec2-OOD,mult,residual,bert-base-uncased,0,mult_residual_MIntRec2_multi-class_0_2024-05-18-02-56-43,80,4,8,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5,1,1,3e-05
56.91,56.11,56.61,50.83,53.31,50.77,69.92,79.8,53.16,88.05,35.25,57.15,MIntRec2,MIntRec2-OOD,mult,residual,bert-base-uncased,1,mult_residual_MIntRec2_multi-class_0_2024-05-18-02-56-43,80,4,8,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5,1,1,2.9999999999999997e-05
58.58,58.0,57.84,53.62,54.52,53.33,70.29,80.1,53.4,87.05,34.75,56.61,MIntRec2,MIntRec2-OOD,mult,residual,bert-base-uncased,2,mult_residual_MIntRec2_multi-class_0_2024-05-18-02-56-43,80,4,8,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5,1,1,3e-05
59.81,58.23,58.74,52.11,57.21,52.18,71.24,80.23,55.38,83.46,33.67,54.37,MIntRec2,MIntRec2-OOD,mult,residual,bert-base-uncased,3,mult_residual_MIntRec2_multi-class_0_2024-05-18-02-56-43,80,4,8,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5,1,1,2.9999999999999997e-05
59.52,58.26,60.15,51.91,59.21,50.36,71.14,80.19,54.25,87.13,33.83,56.68,MIntRec2,MIntRec2-OOD,mult,residual,bert-base-uncased,4,mult_residual_MIntRec2_multi-class_0_2024-05-18-02-56-43,80,4,8,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5,1,1,3e-05
