acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,dst_feature_dims,nheads,n_levels,attn_dropout,attn_dropout_v,attn_dropout_a,relu_dropout,embed_dropout,res_dropout,output_dropout,text_dropout,grad_clip,conv1d_kernel_size_l,conv1d_kernel_size_v,conv1d_kernel_size_a,lr,scale
71.91,71.57,72.48,68.48,70.24,68.69,75.3,74.36,72.87,81.33,31.11,42.93,MIntRec,MIntRec-OOD,mult,ma,bert-base-uncased,0,mult_ma_MIntRec_multi-class_0_2024-05-19-13-14-05,80,8,8,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,0.5,5,1,1,2.9999999999999997e-05,20
73.26,73.03,72.99,69.19,69.61,69.04,75.0,74.75,70.5,82.22,31.33,43.36,MIntRec,MIntRec-OOD,mult,ma,bert-base-uncased,1,mult_ma_MIntRec_multi-class_0_2024-05-19-13-14-05,80,8,8,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,0.5,5,1,1,3e-05,20
72.13,71.67,72.62,68.96,72.71,67.92,74.86,73.23,71.13,78.22,32.22,41.38,MIntRec,MIntRec-OOD,mult,ma,bert-base-uncased,2,mult_ma_MIntRec_multi-class_0_2024-05-19-13-14-05,80,8,8,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,0.5,5,1,1,2.9999999999999997e-05,20
72.36,72.09,72.54,68.31,69.51,67.98,73.51,73.87,68.14,88.44,31.78,46.46,MIntRec,MIntRec-OOD,mult,ma,bert-base-uncased,3,mult_ma_MIntRec_multi-class_0_2024-05-19-13-14-05,80,8,8,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,0.5,5,1,1,3e-05,20
71.24,70.93,71.24,67.04,68.04,66.87,76.06,75.07,72.69,79.11,30.0,41.82,MIntRec,MIntRec-OOD,mult,ma,bert-base-uncased,4,mult_ma_MIntRec_multi-class_0_2024-05-19-13-14-05,80,8,8,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,0.5,5,1,1,2.9999999999999997e-05,20
71.91,71.57,72.48,68.48,70.24,68.69,75.22,73.45,72.52,77.78,31.56,41.04,MIntRec,MIntRec-OOD,mult,residual,bert-base-uncased,0,mult_residual_MIntRec_multi-class_0_2024-05-19-13-17-03,80,8,8,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,0.5,5,1,1,3e-05,20
73.26,73.03,72.99,69.19,69.61,69.04,74.9,72.83,72.41,75.11,31.78,39.83,MIntRec,MIntRec-OOD,mult,residual,bert-base-uncased,1,mult_residual_MIntRec_multi-class_0_2024-05-19-13-17-03,80,8,8,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,0.5,5,1,1,2.9999999999999997e-05,20
72.13,71.67,72.62,68.96,72.71,67.92,73.78,74.04,70.79,76.89,32.89,40.71,MIntRec,MIntRec-OOD,mult,residual,bert-base-uncased,2,mult_residual_MIntRec_multi-class_0_2024-05-19-13-17-03,80,8,8,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,0.5,5,1,1,3e-05,20
72.36,72.09,72.54,68.31,69.51,67.98,73.67,73.92,70.03,84.0,31.78,44.24,MIntRec,MIntRec-OOD,mult,residual,bert-base-uncased,3,mult_residual_MIntRec_multi-class_0_2024-05-19-13-17-03,80,8,8,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,0.5,5,1,1,2.9999999999999997e-05,20
71.24,70.93,71.24,67.04,68.04,66.87,74.25,73.73,72.24,78.44,31.11,41.48,MIntRec,MIntRec-OOD,mult,residual,bert-base-uncased,4,mult_residual_MIntRec_multi-class_0_2024-05-19-13-17-03,80,8,8,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,0.5,5,1,1,3e-05,20
