acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,warmup_proportion,lr,weight_decay
58.63,57.75,58.37,51.8,55.71,50.88,71.85,80.26,57.93,83.12,33.33,54.16,MIntRec2,MIntRec2-OOD,text,ma,bert-base-uncased,0,text_ma_MIntRec2_multi-class_0_2024-05-18-03-19-41,0.01,2.9999999999999997e-05,0.1
58.09,57.67,58.86,52.92,55.58,52.4,70.97,79.49,57.11,82.87,34.84,53.98,MIntRec2,MIntRec2-OOD,text,ma,bert-base-uncased,1,text_ma_MIntRec2_multi-class_0_2024-05-18-03-19-41,0.01,3e-05,0.1
56.47,56.5,56.9,51.94,52.59,51.86,70.03,79.37,55.11,85.46,35.34,55.63,MIntRec2,MIntRec2-OOD,text,ma,bert-base-uncased,2,text_ma_MIntRec2_multi-class_0_2024-05-18-03-19-41,0.01,2.9999999999999997e-05,0.1
58.68,57.95,58.24,53.23,55.95,52.22,70.91,79.56,56.31,83.79,34.17,54.58,MIntRec2,MIntRec2-OOD,text,ma,bert-base-uncased,3,text_ma_MIntRec2_multi-class_0_2024-05-18-03-19-41,0.01,3e-05,0.1
57.11,56.58,58.13,51.28,55.47,50.43,70.95,80.0,56.0,84.88,34.25,55.26,MIntRec2,MIntRec2-OOD,text,ma,bert-base-uncased,4,text_ma_MIntRec2_multi-class_0_2024-05-18-03-19-41,0.01,2.9999999999999997e-05,0.1
58.63,57.75,58.37,51.8,55.71,50.88,72.17,80.98,59.15,82.12,33.83,53.53,MIntRec2,MIntRec2-OOD,text,residual,bert-base-uncased,0,text_residual_MIntRec2_multi-class_0_2024-05-18-03-21-06,0.01,3e-05,0.1
58.09,57.67,58.86,52.92,55.58,52.4,70.95,80.24,57.05,84.38,34.34,54.89,MIntRec2,MIntRec2-OOD,text,residual,bert-base-uncased,1,text_residual_MIntRec2_multi-class_0_2024-05-18-03-21-06,0.01,2.9999999999999997e-05,0.1
56.47,56.5,56.9,51.94,52.59,51.86,70.51,80.43,55.85,83.96,35.59,54.69,MIntRec2,MIntRec2-OOD,text,residual,bert-base-uncased,2,text_residual_MIntRec2_multi-class_0_2024-05-18-03-21-06,0.01,3e-05,0.1
58.68,57.95,58.24,53.23,55.95,52.22,70.97,80.16,56.53,83.96,34.17,54.69,MIntRec2,MIntRec2-OOD,text,residual,bert-base-uncased,3,text_residual_MIntRec2_multi-class_0_2024-05-18-03-21-06,0.01,2.9999999999999997e-05,0.1
57.11,56.58,58.13,51.28,55.47,50.43,71.51,81.0,56.89,83.54,34.34,54.42,MIntRec2,MIntRec2-OOD,text,residual,bert-base-uncased,4,text_residual_MIntRec2_multi-class_0_2024-05-18-03-21-06,0.01,3e-05,0.1
