acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,eval_acc,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,lr,weight_decay,warmup_proportion,hidden_dims,num_attention_heads,attention_probs_dropout_prob,hidden_dropout_prob,intermediate_size,num_hidden_layers,max_position_embeddings,aligned_method,multiple_ood,select_number_min,select_number_max,alpha,mlp_hidden_size,mlp_dropout,scale,ablation,sampler
58.58,57.1,56.63,49.71,51.62,49.87,71.16,79.85,57.1,82.12,35.0,53.53,0.585,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0,msz_ma_MIntRec2_multi-class_0_2024-05-19-13-52-24,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_fusion_add,dir
58.34,57.55,57.6,52.64,53.52,53.05,70.21,79.21,54.57,85.8,34.75,55.84,0.5877,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0,msz_ma_MIntRec2_multi-class_0_2024-05-19-13-49-53,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_fusion_cat,dir
59.27,58.2,58.81,53.92,56.73,53.33,72.98,80.86,58.63,81.87,32.66,53.35,0.5904,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0,msz_ma_MIntRec2_multi-class_0_2024-05-19-13-49-00,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_binary,dir
59.12,57.85,57.34,52.01,53.14,52.04,70.52,79.39,55.08,84.38,35.0,54.91,0.5922,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,1,msz_ma_MIntRec2_multi-class_0_2024-05-19-13-49-53,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_fusion_cat,dir
58.29,57.93,58.26,53.2,53.89,53.6,71.89,80.56,57.01,84.21,33.67,54.79,0.5868,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,1,msz_ma_MIntRec2_multi-class_0_2024-05-19-13-52-24,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_fusion_add,dir
58.29,57.06,57.46,51.46,54.96,51.26,71.59,80.33,55.82,84.13,33.92,54.79,0.5895,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,2,msz_ma_MIntRec2_multi-class_0_2024-05-19-13-49-53,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_fusion_cat,dir
58.44,57.26,57.72,51.55,54.61,52.59,72.76,80.87,58.51,82.62,33.0,53.81,0.5859,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,2,msz_ma_MIntRec2_multi-class_0_2024-05-19-13-52-24,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_fusion_add,dir
58.58,58.0,58.25,53.32,55.07,53.4,72.0,80.64,57.39,83.71,33.75,54.53,0.5922,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,1,msz_ma_MIntRec2_multi-class_0_2024-05-19-13-49-00,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_binary,dir
58.29,57.26,58.61,51.8,55.03,52.76,70.93,79.75,55.82,84.04,34.92,54.74,0.5995,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,3,msz_ma_MIntRec2_multi-class_0_2024-05-19-13-49-53,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_fusion_cat,dir
57.85,57.3,57.38,51.62,52.75,51.67,71.21,79.88,56.51,84.29,34.25,54.9,0.5967,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,3,msz_ma_MIntRec2_multi-class_0_2024-05-19-13-52-24,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_fusion_add,dir
59.52,57.72,58.4,51.0,55.01,51.62,72.94,80.9,59.57,82.62,32.41,53.85,0.6022,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,2,msz_ma_MIntRec2_multi-class_0_2024-05-19-13-49-00,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_binary,dir
57.75,57.31,57.61,52.69,53.49,53.29,70.94,79.71,55.75,85.55,34.5,55.69,0.5922,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,4,msz_ma_MIntRec2_multi-class_0_2024-05-19-13-49-53,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_fusion_cat,dir
57.94,56.0,57.05,48.16,55.41,47.89,73.33,80.95,61.29,75.86,32.92,49.59,0.5678,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0,msz_ma_MIntRec2_multi-class_0_2024-05-19-13-49-30,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_CosClass,dir
58.78,58.04,58.24,53.06,54.38,53.19,71.86,80.2,57.47,82.62,33.08,53.83,0.5832,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,4,msz_ma_MIntRec2_multi-class_0_2024-05-19-13-52-24,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_fusion_add,dir
58.29,57.67,58.11,52.47,54.46,52.6,71.66,80.37,57.74,82.04,34.5,53.48,0.6076,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,3,msz_ma_MIntRec2_multi-class_0_2024-05-19-13-49-00,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_binary,dir
59.76,57.89,58.53,51.69,55.24,51.75,72.22,80.49,58.98,81.2,34.5,52.95,0.5967,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,4,msz_ma_MIntRec2_multi-class_0_2024-05-19-13-49-00,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_binary,dir
55.24,53.07,57.09,44.82,52.15,44.49,68.21,77.54,53.97,85.71,36.76,55.74,0.5597,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,1,msz_ma_MIntRec2_multi-class_0_2024-05-19-13-49-30,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_CosClass,dir
39.3,33.29,35.78,24.45,26.73,28.65,57.95,69.49,44.35,90.89,44.28,59.05,0.4186,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,2,msz_ma_MIntRec2_multi-class_0_2024-05-19-13-49-30,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_CosClass,dir
56.71,55.8,57.66,49.93,51.98,50.82,63.15,73.53,50.0,86.47,40.94,56.26,0.5714,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,3,msz_ma_MIntRec2_multi-class_0_2024-05-19-13-49-30,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_CosClass,dir
58.48,57.35,57.58,51.77,55.0,51.63,71.14,79.77,57.41,82.79,35.09,53.95,0.5823,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,4,msz_ma_MIntRec2_multi-class_0_2024-05-19-13-49-30,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_CosClass,dir
58.34,57.55,57.6,52.64,53.52,53.05,70.12,79.62,54.41,87.47,34.5,56.87,,MIntRec2,MIntRec2-OOD,msz,residual,bert-base-uncased,0,msz_residual_MIntRec2_multi-class_0_2024-05-20-01-59-19,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_fusion_cat,dir
58.58,57.1,56.63,49.71,51.62,49.87,70.38,79.73,55.3,85.96,35.67,55.87,,MIntRec2,MIntRec2-OOD,msz,residual,bert-base-uncased,0,msz_residual_MIntRec2_multi-class_0_2024-05-20-01-59-14,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_fusion_add,dir
