F1-known,F1-open,F1,Acc,dataset,method,backbone,known_cls_ratio,labeled_ratio,loss,seed,train_epochs,created_time,lr,safe1,safe2,alpha,alpha_loss,margin,p,loss_weight,supcon_loss_weight,triplet_loss_weight
74.5019,85.1126,75.0324,79.81,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-22-23-12-31,2e-05,0.6,0.6,0.0,0.5,0.3,2.0,1.0,0.3,0.3
74.3123,85.4804,74.8707,80.16,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-22-23-18-24,2e-05,0.6,0.6,0.0,0.5,0.3,2.0,1.0,0.3,0.4
73.8116,84.8719,74.3646,79.45,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-22-23-24-04,2e-05,0.6,0.6,0.0,0.5,0.3,2.0,1.0,0.3,0.5
74.5126,85.6044,75.0672,80.32,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-22-23-31-03,2e-05,0.6,0.6,0.0,0.5,0.3,2.0,1.0,0.3,0.6
74.7931,85.7897,75.343,80.55,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-22-23-39-32,2e-05,0.6,0.6,0.0,0.5,0.3,2.0,1.0,0.3,0.7
74.2438,84.8397,74.7736,79.45,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-22-23-47-07,2e-05,0.6,0.6,0.0,0.5,0.3,2.0,1.0,0.4,0.3
73.5762,84.781,74.1364,79.29,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-22-23-55-01,2e-05,0.6,0.6,0.0,0.5,0.3,2.0,1.0,0.4,0.4
73.7021,84.6864,74.2513,79.35,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-23-00-03-18,2e-05,0.6,0.6,0.0,0.5,0.3,2.0,1.0,0.4,0.5
74.696,85.3288,75.2277,80.0,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-23-00-12-16,2e-05,0.6,0.6,0.0,0.5,0.3,2.0,1.0,0.4,0.6
75.0954,85.9813,75.6397,80.78,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-23-00-19-33,2e-05,0.6,0.6,0.0,0.5,0.3,2.0,1.0,0.4,0.7
