F1-known,F1-open,F1,Acc,dataset,method,backbone,known_cls_ratio,labeled_ratio,loss,seed,train_epochs,created_time,lr,safe1,safe2,alpha,alpha_loss,margin,p,loss_weight,supcon_loss_weight,triplet_loss_weight
21.8914,73.0129,24.4475,60.62,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,1.0,2024-09-26-22-51-15,2e-05,0.3,0.3,0.2,0.5,0.3,2.0,1.0,0.3,0.6
75.5101,86.1384,76.0415,81.01,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-26-22-55-59,2e-05,0.3,0.3,0.2,0.5,0.3,2.0,1.0,0.3,0.6
73.4841,85.1342,74.0666,79.74,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-26-22-58-56,2e-05,0.3,0.3,0.5,0.5,0.3,2.0,1.0,0.3,0.6
74.8578,86.0632,75.4181,80.88,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-26-23-03-20,2e-05,0.3,0.3,0.8,0.5,0.3,2.0,1.0,0.3,0.6
72.5315,83.8142,73.0956,78.25,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-26-23-08-37,2e-05,0.3,0.4,0.2,0.5,0.3,2.0,1.0,0.3,0.6
73.8788,84.8632,74.428,79.48,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-26-23-14-33,2e-05,0.3,0.4,0.5,0.5,0.3,2.0,1.0,0.3,0.6
75.2573,85.9611,75.7925,80.78,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-26-23-20-26,2e-05,0.3,0.4,0.8,0.5,0.3,2.0,1.0,0.3,0.6
74.6752,85.9952,75.2412,80.78,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-26-23-23-29,2e-05,0.3,0.5,0.2,0.5,0.3,2.0,1.0,0.3,0.6
76.0414,86.8552,76.5821,81.88,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-26-23-27-14,2e-05,0.3,0.5,0.5,0.5,0.3,2.0,1.0,0.3,0.6
74.9978,86.2595,75.5609,81.14,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-26-23-31-03,2e-05,0.3,0.5,0.8,0.5,0.3,2.0,1.0,0.3,0.6
76.2036,87.041,76.7455,82.05,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-26-23-35-37,2e-05,0.3,0.6,0.2,0.5,0.3,2.0,1.0,0.3,0.6
74.2344,85.6181,74.8036,80.29,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-26-23-38-53,2e-05,0.3,0.6,0.5,0.5,0.3,2.0,1.0,0.3,0.6
74.1713,85.2317,74.7243,79.9,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-26-23-42-17,2e-05,0.3,0.6,0.8,0.5,0.3,2.0,1.0,0.3,0.6
75.5474,86.3615,76.0881,81.2,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-26-23-46-35,2e-05,0.3,0.7,0.2,0.5,0.3,2.0,1.0,0.3,0.6
