F1-known,F1-open,F1,Acc,dataset,method,backbone,known_cls_ratio,labeled_ratio,loss,seed,train_epochs,created_time,lr,safe1,safe2,alpha,alpha_loss,margin,p,loss_weight,supcon_loss_weight,triplet_loss_weight
78.2301,92.6644,78.6002,88.72,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-09-23-23-09-06,2e-05,0.6,0.6,0,0.5,0.3,2,1,0.3,0.3
79.3139,93.065,79.6665,89.33,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-09-23-23-28-11,2e-05,0.6,0.6,0,0.5,0.3,2,1,0.3,0.4
80.0642,93.4982,80.4087,89.91,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-09-23-23-53-18,2e-05,0.6,0.6,0,0.5,0.3,2,1,0.3,0.5
79.7849,93.34100000000001,80.1325,89.7,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-09-24-00-14-30,2e-05,0.6,0.6,0,0.5,0.3,2,1,0.3,0.6
78.6951,92.9655,79.061,89.14,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-09-24-00-34-32,2e-05,0.6,0.6,0,0.5,0.3,2,1,0.3,0.7
78.9875,92.9295,79.345,89.11,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-09-24-00-49-05,2e-05,0.6,0.6,0,0.5,0.3,2,1,0.4,0.3
78.4955,92.7921,78.8621,88.91,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-09-24-01-03-55,2e-05,0.6,0.6,0,0.5,0.3,2,1,0.4,0.4
78.471,92.8111,78.8387,88.93,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-09-24-01-21-38,2e-05,0.6,0.6,0,0.5,0.3,2,1,0.4,0.5
79.8108,93.4904,80.1616,89.91,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-09-24-01-36-32,2e-05,0.6,0.6,0,0.5,0.3,2,1,0.4,0.6
79.1029,93.2155,79.4647,89.49,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-09-24-01-53-29,2e-05,0.6,0.6,0,0.5,0.3,2,1,0.4,0.7
