F1-known,F1-open,F1,Acc,dataset,method,backbone,known_cls_ratio,labeled_ratio,loss,seed,train_epochs,created_time,lr,safe1,safe2,neg_weight,margin,supcon_loss_weight,triplet_loss_weight
78.785,90.2932,79.3604,86.01,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-10-06-19-03-42,2e-05,0.8,0.7,0.5,0.5,0.8,0.7
72.26,87.0729,73.0006,81.82,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-10-06-19-33-51,2e-05,0.8,0.7,0.5,0.5,0.8,0.7
76.6831,90.4536,77.3717,86.07,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,3,100,2024-10-06-19-53-15,2e-05,0.8,0.7,0.5,0.5,0.8,0.7
77.3437,88.7253,77.9127,83.99,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,4,100,2024-10-06-20-11-55,2e-05,0.8,0.7,0.5,0.5,0.8,0.7
75.681,90.3197,76.4129,85.71,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,5,100,2024-10-06-20-30-07,2e-05,0.8,0.7,0.5,0.5,0.8,0.7
84.7593,84.3118,84.7478,84.06,banking,ADB,bert,0.5,1.0,CrossEntropyLoss,1,100,2024-10-06-21-02-50,2e-05,0.8,0.7,0.5,0.5,0.8,0.7
83.5521,83.3765,83.5476,82.82,banking,ADB,bert,0.5,1.0,CrossEntropyLoss,2,100,2024-10-06-21-59-29,2e-05,0.8,0.7,0.5,0.5,0.8,0.7
82.219,84.374,82.2742,83.15,banking,ADB,bert,0.5,1.0,CrossEntropyLoss,3,100,2024-10-06-22-54-27,2e-05,0.8,0.7,0.5,0.5,0.8,0.7
83.5669,82.2865,83.5341,82.01,banking,ADB,bert,0.5,1.0,CrossEntropyLoss,4,100,2024-10-06-23-35-47,2e-05,0.8,0.7,0.5,0.5,0.8,0.7
81.8271,85.4609,81.9203,83.47,banking,ADB,bert,0.5,1.0,CrossEntropyLoss,5,100,2024-10-07-00-33-18,2e-05,0.8,0.7,0.5,0.5,0.8,0.7
87.367,72.5288,87.1155,83.31,banking,ADB,bert,0.75,1.0,CrossEntropyLoss,1,100,2024-10-07-01-25-50,2e-05,0.8,0.7,0.5,0.5,0.8,0.7
86.5209,70.2671,86.2454,81.82,banking,ADB,bert,0.75,1.0,CrossEntropyLoss,2,100,2024-10-07-02-33-50,2e-05,0.8,0.7,0.5,0.5,0.8,0.7
86.5793,71.6756,86.3267,82.34,banking,ADB,bert,0.75,1.0,CrossEntropyLoss,3,100,2024-10-07-03-51-22,2e-05,0.8,0.7,0.5,0.5,0.8,0.7
86.3102,69.3302,86.0224,81.3,banking,ADB,bert,0.75,1.0,CrossEntropyLoss,4,100,2024-10-07-05-10-17,2e-05,0.8,0.7,0.5,0.5,0.8,0.7
86.7234,74.1036,86.5095,83.12,banking,ADB,bert,0.75,1.0,CrossEntropyLoss,5,100,2024-10-07-06-54-43,2e-05,0.8,0.7,0.5,0.5,0.8,0.7
