F1-known,F1-open,F1,Acc,dataset,method,backbone,known_cls_ratio,labeled_ratio,loss,seed,train_epochs,created_time,lr,safe1,safe2,neg_weight,margin,supcon_loss_weight,triplet_loss_weight
77.0152,87.8966,77.5592,83.08,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-10-07-16-23-13,2e-05,0.8,0.7,0,0.5,0.8,0.7
70.7693,85.05799999999998,71.4838,79.48,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-10-07-16-27-03,2e-05,0.8,0.7,0,0.5,0.8,0.7
74.6483,88.0914,75.3204,83.18,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,3,100,2024-10-07-16-30-22,2e-05,0.8,0.7,0,0.5,0.8,0.7
76.0803,87.2411,76.6383,82.24,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,4,100,2024-10-07-16-33-55,2e-05,0.8,0.7,0,0.5,0.8,0.7
73.5549,87.9888,74.2766,82.82,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,5,100,2024-10-07-16-37-17,2e-05,0.8,0.7,0,0.5,0.8,0.7
84.6653,82.8952,84.6199,83.15,banking,ADB,bert,0.5,1.0,CrossEntropyLoss,1,100,2024-10-07-16-43-42,2e-05,0.8,0.7,0,0.5,0.8,0.7
83.2247,82.2517,83.1998,81.95,banking,ADB,bert,0.5,1.0,CrossEntropyLoss,2,100,2024-10-07-16-52-05,2e-05,0.8,0.7,0,0.5,0.8,0.7
81.885,83.0497,81.9149,82.18,banking,ADB,bert,0.5,1.0,CrossEntropyLoss,3,100,2024-10-07-17-03-42,2e-05,0.8,0.7,0,0.5,0.8,0.7
83.0701,80.4786,83.0036,80.65,banking,ADB,bert,0.5,1.0,CrossEntropyLoss,4,100,2024-10-07-17-13-19,2e-05,0.8,0.7,0,0.5,0.8,0.7
81.8567,84.1483,81.9155,82.56,banking,ADB,bert,0.5,1.0,CrossEntropyLoss,5,100,2024-10-07-17-20-49,2e-05,0.8,0.7,0,0.5,0.8,0.7
87.3143,71.5539,87.0472,83.05,banking,ADB,bert,0.75,1.0,CrossEntropyLoss,1,100,2024-10-07-17-33-26,2e-05,0.8,0.7,0,0.5,0.8,0.7
85.975,68.1763,85.6733,80.88,banking,ADB,bert,0.75,1.0,CrossEntropyLoss,2,100,2024-10-07-17-48-16,2e-05,0.8,0.7,0,0.5,0.8,0.7
86.5614,70.3772,86.2871,82.05,banking,ADB,bert,0.75,1.0,CrossEntropyLoss,3,100,2024-10-07-18-03-07,2e-05,0.8,0.7,0,0.5,0.8,0.7
86.51700000000001,68.0877,86.2046,81.14,banking,ADB,bert,0.75,1.0,CrossEntropyLoss,4,100,2024-10-07-18-21-45,2e-05,0.8,0.7,0,0.5,0.8,0.7
86.6948,73.2815,86.4675,82.89,banking,ADB,bert,0.75,1.0,CrossEntropyLoss,5,100,2024-10-07-18-37-48,2e-05,0.8,0.7,0,0.5,0.8,0.7
