F1-known,F1-open,F1,Acc,dataset,method,backbone,known_cls_ratio,labeled_ratio,loss,seed,train_epochs,created_time,lr,safe1,safe2,neg_weight,margin,supcon_loss_weight,triplet_loss_weight
75.2057,88.212,75.85600000000002,83.25,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-10-07-17-35-47,2e-05,0.8,0.7,0.5,0,0,0
69.7564,84.98700000000002,70.518,79.29,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-10-07-17-39-06,2e-05,0.8,0.7,0.5,0,0,0
74.7211,88.5457,75.4123,83.67,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,3,100,2024-10-07-17-42-52,2e-05,0.8,0.7,0.5,0,0,0
69.4986,84.2936,70.2384,78.28,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,4,100,2024-10-07-17-45-36,2e-05,0.8,0.7,0.5,0,0,0
74.3403,89.3588,75.0912,84.45,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,5,100,2024-10-07-17-50-23,2e-05,0.8,0.7,0.5,0,0,0
83.4457,81.2413,83.3891,81.56,banking,ADB,bert,0.5,1.0,CrossEntropyLoss,1,100,2024-10-07-17-56-45,2e-05,0.8,0.7,0.5,0,0,0
81.2107,79.1382,81.1576,79.32,banking,ADB,bert,0.5,1.0,CrossEntropyLoss,2,100,2024-10-07-18-03-46,2e-05,0.8,0.7,0.5,0,0,0
80.3118,81.4416,80.3408,80.42,banking,ADB,bert,0.5,1.0,CrossEntropyLoss,3,100,2024-10-07-18-10-54,2e-05,0.8,0.7,0.5,0,0,0
82.3425,80.967,82.3072,80.75,banking,ADB,bert,0.5,1.0,CrossEntropyLoss,4,100,2024-10-07-18-18-57,2e-05,0.8,0.7,0.5,0,0,0
80.6381,84.0752,80.7262,81.95,banking,ADB,bert,0.5,1.0,CrossEntropyLoss,5,100,2024-10-07-18-26-50,2e-05,0.8,0.7,0.5,0,0,0
86.9809,70.6344,86.7039,82.69,banking,ADB,bert,0.75,1.0,CrossEntropyLoss,1,100,2024-10-07-18-39-37,2e-05,0.8,0.7,0.5,0,0,0
86.6614,70.3587,86.3851,82.18,banking,ADB,bert,0.75,1.0,CrossEntropyLoss,2,100,2024-10-07-18-56-24,2e-05,0.8,0.7,0.5,0,0,0
85.884,67.8875,85.579,81.1,banking,ADB,bert,0.75,1.0,CrossEntropyLoss,3,100,2024-10-07-19-08-53,2e-05,0.8,0.7,0.5,0,0,0
86.1937,67.8501,85.8828,81.14,banking,ADB,bert,0.75,1.0,CrossEntropyLoss,4,100,2024-10-07-19-19-35,2e-05,0.8,0.7,0.5,0,0,0
86.0583,72.2084,85.8235,82.31,banking,ADB,bert,0.75,1.0,CrossEntropyLoss,5,100,2024-10-07-19-32-02,2e-05,0.8,0.7,0.5,0,0,0
