F1-known,F1-open,F1,Acc,dataset,method,backbone,known_cls_ratio,labeled_ratio,loss,seed,train_epochs,created_time,lr,safe1,safe2,neg_weight,margin,supcon_loss_weight,triplet_loss_weight
81.0858,94.0723,81.4188,90.75,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-10-05-14-16-45,2e-05,0.3,0.3,0.0,0.3,0.7,0.7
81.0857,94.135,81.4203,90.84,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-10-05-14-20-59,2e-05,0.3,0.3,0.0,0.3,0.7,0.8
80.7478,93.9909,81.0874,90.61,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-10-05-14-24-49,2e-05,0.3,0.3,0.0,0.3,0.7,0.6
80.3861,93.8465,80.7313,90.4,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-10-05-14-29-10,2e-05,0.3,0.3,0.0,0.3,0.7,0.5
81.5158,94.3132,81.8439,91.11,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-10-05-14-35-50,2e-05,0.3,0.3,0.0,0.3,0.7,0.9
81.1003,94.1629,81.4352,90.88,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-10-05-14-39-31,2e-05,0.3,0.3,0.0,0.3,0.7,1.0
81.5018,94.3213,81.8305,91.12,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-10-05-14-46-16,2e-05,0.3,0.3,0.0,0.3,0.4,0.9
80.9854,94.1389,81.3227,90.84,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-10-05-14-53-35,2e-05,0.3,0.3,0.0,0.3,0.9,0.9
80.4699,94.055,80.8182,90.67,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-10-05-14-59-03,2e-05,0.3,0.3,0.0,0.3,0.2,0.9
81.0294,94.1469,81.3657,90.84,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-10-05-15-05-11,2e-05,0.3,0.3,0.0,0.3,0.5,0.9
81.5158,94.3132,81.8439,91.11,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-10-05-15-10-06,2e-05,0.3,0.3,0.0,0.3,0.7,0.9
81.2034,94.1975,81.5365,90.93,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-10-05-15-15-09,2e-05,0.3,0.3,0.0,0.4,0.7,0.9
81.4464,94.2919,81.7757,91.07,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-10-05-15-19-19,2e-05,0.3,0.3,0.0,0.5,0.7,0.9
81.4828,94.3277,81.8121,91.12,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-10-05-15-23-08,2e-05,0.3,0.3,0.0,0.6,0.7,0.9
81.5203,94.3383,81.84899999999998,91.14,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-10-05-15-27-20,2e-05,0.3,0.3,0.0,0.7,0.7,0.9
81.6082,94.3516,81.9349,91.18,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-10-05-15-31-32,2e-05,0.3,0.3,0.0,0.8,0.7,0.9
...,,,,,,,,,,,,,,,,,,,
80.8455,93.9549,81.1816,90.58,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-10-05-15-37-21,2e-05,0.3,0.3,0.3,0.8,0.7,0.9
80.2411,93.5524,80.5824,90.0,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-10-05-15-41-45,2e-05,0.3,0.3,0.5,0.8,0.7,0.9
79.6064,92.9794,79.9493,89.18,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-10-05-15-46-13,2e-05,0.3,0.3,0.8,0.8,0.7,0.9
80.8621,93.9669,81.1981,90.6,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-10-05-15-50-07,2e-05,0.3,0.4,0.3,0.8,0.7,0.9
80.3819,93.601,80.7209,90.07,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-10-05-15-54-26,2e-05,0.3,0.4,0.5,0.8,0.7,0.9
79.9236,93.179,80.2635,89.47,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-10-05-15-59-10,2e-05,0.3,0.4,0.8,0.8,0.7,0.9
80.8962,93.9789,81.2317,90.61,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-10-05-16-03-05,2e-05,0.3,0.5,0.3,0.8,0.7,0.9
80.4244,93.6253,80.7629,90.11,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-10-05-16-07-26,2e-05,0.3,0.5,0.5,0.8,0.7,0.9
79.943,93.10700000000001,80.2805,89.37,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-10-05-16-12-02,2e-05,0.3,0.5,0.8,0.8,0.7,0.9
80.8621,93.9669,81.1981,90.6,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-10-05-16-15-56,2e-05,0.4,0.3,0.3,0.8,0.7,0.9
80.3819,93.601,80.7209,90.07,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-10-05-16-20-18,2e-05,0.4,0.3,0.5,0.8,0.7,0.9
79.9236,93.179,80.2635,89.47,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-10-05-16-25-03,2e-05,0.4,0.3,0.8,0.8,0.7,0.9
80.9076,93.9909,81.2431,90.63,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-10-05-16-28-56,2e-05,0.4,0.4,0.3,0.8,0.7,0.9
80.9552,93.9882,81.2894,90.61,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-10-05-16-35-20,2e-05,0.4,0.6,0.3,0.8,0.7,0.9
80.9444,94.0029,81.2793,90.65,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-10-05-16-39-21,2e-05,0.4,0.5,0.3,0.8,0.7,0.9
81.1637,94.095,81.4953,90.79,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-10-05-16-46-46,2e-05,0.4,0.8,0.3,0.8,0.7,0.9
