F1-known,F1-open,F1,Acc,dataset,method,backbone,known_cls_ratio,labeled_ratio,loss,seed,train_epochs,created_time,lr,safe1,safe2,alpha,margin,p,loss_weight,supcon_loss_weight,triplet_loss_weight,neg_weight
75.2618,86.4646,75.8219,81.33,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-19-03-30,2e-05,0.3,0.3,0.3,0.5,2.0,1.0,0.6,0.7,
74.5251,85.8103,75.0894,80.52,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-19-06-27,2e-05,0.3,0.3,0.4,0.5,2.0,1.0,0.6,0.7,
76.825,87.1892,77.3433,82.24,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-19-10-33,2e-05,0.3,0.3,0.5,0.5,2.0,1.0,0.6,0.7,
75.7073,86.5508,76.2495,81.43,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-19-14-03,2e-05,0.3,0.3,0.6,0.5,2.0,1.0,0.6,0.7,
75.7589,87.3552,76.3388,82.44,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-19-16-59,2e-05,0.3,0.3,0.7,0.5,2.0,1.0,0.6,0.7,
74.7387,85.8375,75.2936,80.58,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-19-19-55,2e-05,0.3,0.3,0.8,0.5,2.0,1.0,0.6,0.7,
74.3362,85.93299999999998,74.916,80.68,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-19-23-15,2e-05,0.3,0.4,0.3,0.5,2.0,1.0,0.6,0.7,
75.0971,85.9334,75.6389,80.75,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-19-27-30,2e-05,0.3,0.4,0.4,0.5,2.0,1.0,0.6,0.7,
75.4641,86.1178,75.9968,80.91,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-19-31-28,2e-05,0.3,0.4,0.5,0.5,2.0,1.0,0.6,0.7,
73.5284,84.6061,74.0823,79.12,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-19-34-26,2e-05,0.3,0.4,0.6,0.5,2.0,1.0,0.6,0.7,
75.5027,86.4955,76.0523,81.36,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-19-38-07,2e-05,0.3,0.4,0.7,0.5,2.0,1.0,0.6,0.7,
74.0313,85.0569,74.5826,79.68,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-19-41-03,2e-05,0.3,0.4,0.8,0.5,2.0,1.0,0.6,0.7,
75.6485,86.8184,76.207,81.79,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-19-44-59,2e-05,0.3,0.5,0.3,0.5,2.0,1.0,0.6,0.7,
76.726,87.6532,77.2724,82.69,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-19-49-23,2e-05,0.3,0.5,0.4,0.5,2.0,1.0,0.6,0.7,
75.3324,85.6868,75.8501,80.45,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-19-52-19,2e-05,0.3,0.5,0.5,0.5,2.0,1.0,0.6,0.7,
76.3774,87.2633,76.9217,82.27,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-19-56-45,2e-05,0.3,0.5,0.6,0.5,2.0,1.0,0.6,0.7,
74.7296,86.1921,75.3027,81.04,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-19-59-42,2e-05,0.3,0.5,0.7,0.5,2.0,1.0,0.6,0.7,
75.3043,86.7504,75.8766,81.66,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-20-02-29,2e-05,0.3,0.5,0.8,0.5,2.0,1.0,0.6,0.7,
74.6573,86.4221,75.2455,81.23,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-20-05-52,2e-05,0.3,0.6,0.3,0.5,2.0,1.0,0.6,0.7,
75.4292,85.906,75.9531,80.75,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-20-09-25,2e-05,0.3,0.6,0.4,0.5,2.0,1.0,0.6,0.7,
73.9143,85.8034,74.5087,80.39,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-20-11-56,2e-05,0.3,0.6,0.5,0.5,2.0,1.0,0.6,0.7,
75.4643,86.67299999999999,76.0248,81.59,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-20-15-42,2e-05,0.3,0.6,0.6,0.5,2.0,1.0,0.6,0.7,
76.1512,87.2123,76.7042,82.27,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-20-19-23,2e-05,0.3,0.6,0.7,0.5,2.0,1.0,0.6,0.7,
74.6932,85.5149,75.2343,80.19,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-20-22-32,2e-05,0.3,0.6,0.8,0.5,2.0,1.0,0.6,0.7,
76.1722,87.2572,76.7264,82.21,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-20-26-38,2e-05,0.3,0.7,0.3,0.5,2.0,1.0,0.6,0.7,
74.7803,87.0348,75.393,81.92,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-20-29-30,2e-05,0.3,0.7,0.4,0.5,2.0,1.0,0.6,0.7,
75.4551,86.5636,76.0105,81.4,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-20-33-25,2e-05,0.3,0.7,0.5,0.5,2.0,1.0,0.6,0.7,
76.764,87.565,77.304,82.66,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-20-37-07,2e-05,0.3,0.7,0.6,0.5,2.0,1.0,0.6,0.7,
75.6043,86.9813,76.1732,81.98,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-20-40-32,2e-05,0.3,0.7,0.7,0.5,2.0,1.0,0.6,0.7,
75.4141,86.0832,75.9476,80.91,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-20-43-53,2e-05,0.3,0.7,0.8,0.5,2.0,1.0,0.6,0.7,
