F1-known,F1-open,F1,Acc,dataset,method,backbone,known_cls_ratio,labeled_ratio,loss,seed,train_epochs,created_time,lr,safe1,safe2,neg_weight,margin,supcon_loss_weight,triplet_loss_weight
82.3957,94.8594,82.7153,91.89,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-10-06-19-59-59,2e-05,0.5,0.8,0.3,0.8,0.7,0.9
84.1796,95.8106,84.4779,93.25,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-10-06-21-28-26,2e-05,0.5,0.8,0.3,0.8,0.7,0.9
78.4705,92.4437,78.8288,88.46,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,3,100,2024-10-06-22-55-29,2e-05,0.5,0.8,0.3,0.8,0.7,0.9
82.7178,94.5389,83.0209,91.46,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,4,100,2024-10-07-00-17-25,2e-05,0.5,0.8,0.3,0.8,0.7,0.9
82.0588,94.2721,82.3719,91.05,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,5,100,2024-10-07-01-37-39,2e-05,0.5,0.8,0.3,0.8,0.7,0.9
86.5098,90.8556,86.56700000000002,88.84,oos,ADB,bert,0.5,1.0,CrossEntropyLoss,1,100,2024-10-07-03-55-55,2e-05,0.5,0.8,0.3,0.8,0.7,0.9
86.9621,91.6569,87.0239,89.67,oos,ADB,bert,0.5,1.0,CrossEntropyLoss,2,100,2024-10-07-07-23-49,2e-05,0.5,0.8,0.3,0.8,0.7,0.9
86.5687,90.6333,86.6222,88.63,oos,ADB,bert,0.5,1.0,CrossEntropyLoss,3,100,2024-10-07-10-50-06,2e-05,0.5,0.8,0.3,0.8,0.7,0.9
87.1426,90.8528,87.1914,88.95,oos,ADB,bert,0.5,1.0,CrossEntropyLoss,4,100,2024-10-07-14-33-18,2e-05,0.5,0.8,0.3,0.8,0.7,0.9
85.9458,90.3511,86.0037,88.26,oos,ADB,bert,0.5,1.0,CrossEntropyLoss,5,100,2024-10-07-14-41-46,2e-05,0.5,0.8,0.3,0.8,0.7,0.9
89.6121,86.7586,89.5869,88.33,oos,ADB,bert,0.75,1.0,CrossEntropyLoss,1,100,2024-10-07-14-59-57,2e-05,0.5,0.8,0.3,0.8,0.7,0.9
90.3619,88.1962,90.3427,89.37,oos,ADB,bert,0.75,1.0,CrossEntropyLoss,2,100,2024-10-07-15-19-49,2e-05,0.5,0.8,0.3,0.8,0.7,0.9
89.654,87.0184,89.6307,88.44,oos,ADB,bert,0.75,1.0,CrossEntropyLoss,3,100,2024-10-07-15-37-23,2e-05,0.5,0.8,0.3,0.8,0.7,0.9
89.8751,87.2247,89.8516,88.7,oos,ADB,bert,0.75,1.0,CrossEntropyLoss,4,100,2024-10-07-15-52-22,2e-05,0.5,0.8,0.3,0.8,0.7,0.9
90.2388,88.5212,90.2236,89.44,oos,ADB,bert,0.75,1.0,CrossEntropyLoss,5,100,2024-10-07-16-10-47,2e-05,0.5,0.8,0.3,0.8,0.7,0.9
