F1-known,F1-open,F1,Acc,dataset,method,backbone,known_cls_ratio,labeled_ratio,loss,seed,train_epochs,created_time,lr,safe1,safe2,neg_weight,margin,supcon_loss_weight,triplet_loss_weight
78.1289,91.2114,80.3093,86.97,stackoverflow,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-10-06-19-27-13,2e-05,0.7,0.9,0.1,0.4,0.3,0.2
81.5062,93.4688,83.4999,90.2,stackoverflow,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-10-06-19-59-57,2e-05,0.7,0.9,0.1,0.4,0.3,0.2
84.7688,95.2725,86.5194,92.72,stackoverflow,ADB,bert,0.25,1.0,CrossEntropyLoss,3,100,2024-10-06-20-31-20,2e-05,0.7,0.9,0.1,0.4,0.3,0.2
77.5304,89.72399999999998,79.5626,85.02,stackoverflow,ADB,bert,0.25,1.0,CrossEntropyLoss,4,100,2024-10-06-21-26-07,2e-05,0.7,0.9,0.1,0.4,0.3,0.2
82.5889,93.7828,84.4545,90.62,stackoverflow,ADB,bert,0.25,1.0,CrossEntropyLoss,5,100,2024-10-06-21-59-24,2e-05,0.7,0.9,0.1,0.4,0.3,0.2
85.0377,87.8362,85.2921,86.52,stackoverflow,ADB,bert,0.5,1.0,CrossEntropyLoss,1,100,2024-10-06-23-00-37,2e-05,0.7,0.9,0.1,0.4,0.3,0.2
84.2244,87.9591,84.5639,86.15,stackoverflow,ADB,bert,0.5,1.0,CrossEntropyLoss,2,100,2024-10-06-23-58-54,2e-05,0.7,0.9,0.1,0.4,0.3,0.2
84.8692,87.73700000000002,85.1299,86.37,stackoverflow,ADB,bert,0.5,1.0,CrossEntropyLoss,3,100,2024-10-07-01-20-34,2e-05,0.7,0.9,0.1,0.4,0.3,0.2
85.0487,88.3004,85.3443,86.75,stackoverflow,ADB,bert,0.5,1.0,CrossEntropyLoss,4,100,2024-10-07-02-28-33,2e-05,0.7,0.9,0.1,0.4,0.3,0.2
85.9211,88.1287,86.1218,87.02,stackoverflow,ADB,bert,0.5,1.0,CrossEntropyLoss,5,100,2024-10-07-03-29-02,2e-05,0.7,0.9,0.1,0.4,0.3,0.2
86.6809,73.3523,85.8479,82.47,stackoverflow,ADB,bert,0.75,1.0,CrossEntropyLoss,1,100,2024-10-07-05-43-25,2e-05,0.7,0.9,0.1,0.4,0.3,0.2
85.7253,74.5538,85.0271,82.13,stackoverflow,ADB,bert,0.75,1.0,CrossEntropyLoss,2,100,2024-10-07-07-51-18,2e-05,0.7,0.9,0.1,0.4,0.3,0.2
86.6535,72.5072,85.7694,82.18,stackoverflow,ADB,bert,0.75,1.0,CrossEntropyLoss,3,100,2024-10-07-09-48-00,2e-05,0.7,0.9,0.1,0.4,0.3,0.2
87.0523,75.6193,86.3377,83.48,stackoverflow,ADB,bert,0.75,1.0,CrossEntropyLoss,4,100,2024-10-07-11-45-31,2e-05,0.7,0.9,0.1,0.4,0.3,0.2
87.3882,73.4312,86.5159,83.05,stackoverflow,ADB,bert,0.75,1.0,CrossEntropyLoss,5,100,2024-10-07-13-13-52,2e-05,0.7,0.9,0.1,0.4,0.3,0.2
